N	Tempo	EM1	EM2	EM3	EM4	EM5	EM6	EM7	EM8	EM9	EM10	EM11	EM12	CM1	CM2	CM3	CM4	CM5	CM6	CM7	CM8	CM9	CM10	CM11	CM12	AcX		AcY	AcZ	GyX	GyY	GyZ		HCSR
30	38191	102	101	102	80	109	109	105	73	76	100	93	75	101	102	89	109	106	87	78	80	86	81	101	96	-112.00	-229.00	150.00	-1828.00	-1204.00	-15260.00	37.61
31	39414	101	102	89	109	106	87	78	80	86	81	101	96	100	74	74	71	89	87	71	75	82	84	77	92	-1295.00	369.00	4786.00	-5572.00	164.00	-15148.00	36.80
32	40850	100	74	74	71	89	87	71	75	82	84	77	92	89	87	106	89	109	100	78	74	100	85	81	75	-359.00	29.00	194.00	-1432.00	-284.00	-17428.00	38.03
33	42391	89	87	106	89	109	100	78	74	100	85	81	75	87	78	83	99	93	105	90	92	93	79	85	74	694.00	402.00	112.00	-3220.00	140.00	-18872.00	37.18
34	43925	87	78	83	99	93	105	90	92	93	79	85	74	73	82	106	90	80	91	106	91	78	78	83	79	-366.00	53.00	-14.00	-400.00	-1320.00	-17196.00	37.02
35	45199	73	82	106	90	80	91	106	91	78	78	83	79	109	90	109	80	103	88	74	103	90	106	80	93	-568.00	-182.00	1244.00	-1616.00	-636.00	-17684.00	37.07
36	46864	109	90	109	80	103	88	74	103	90	106	80	93	82	94	90	87	88	75	99	79	80	93	95	105	313.00	-531.00	-907.00	-900.00	1544.00	-20700.00	37.34
37	47934	82	94	90	87	88	75	99	79	80	93	95	105	101	81	93	107	88	87	108	92	70	90	76	72	689.00	-902.00	324.00	-2536.00	-1168.00	-18500.00	37.11
38	49464	101	81	93	107	88	87	108	92	70	90	76	72	79	93	103	80	88	104	86	96	94	86	82	104	-326.00	-433.00	-8210.00	-2264.00	-1848.00	-17964.00	37.07
39	50992	79	93	103	80	88	104	86	96	94	86	82	104	89	101	93	94	84	91	78	109	89	91	103	98	-108.00	-1309.00	873.00	-2372.00	-3368.00	-14760.00	37.85
40	52124	89	101	93	94	84	91	78	109	89	91	103	98	70	73	106	77	89	81	96	100	77	91	86	105	-507.00	-18.00	-394.00	-1284.00	744.00	-16592.00	37.14
41	53169	70	73	106	77	89	81	96	100	77	91	86	105	82	108	97	79	80	82	102	101	71	78	70	104	-614.00	2.00	65.00	-1272.00	-2340.00	-17576.00	36.07
42	54471	82	108	97	79	80	82	102	101	71	78	70	104	104	102	87	102	93	103	71	88	90	70	109	94	-195.00	160.00	72.00	-1640.00	96.00	-17136.00	36.60
43	55998	104	102	87	102	93	103	71	88	90	70	109	94	100	109	88	82	70	70	95	105	108	71	78	70	-1032.00	-790.00	-477.00	-1152.00	-860.00	-11652.00	36.47
44	57323	100	109	88	82	70	70	95	105	108	71	78	70	80	81	99	99	82	75	80	73	99	104	102	74	-2852.00	-199.00	2991.00	1984.00	948.00	-14036.00	36.40
45	58633	80	81	99	99	82	75	80	73	99	104	102	74	109	72	75	99	72	83	72	76	93	109	103	88	-499.00	279.00	620.00	-3160.00	2368.00	-15348.00	37.23
46	60389	109	72	75	99	72	83	72	76	93	109	103	88	81	105	79	70	102	97	81	81	86	77	96	82	221.00	-350.00	-45.00	-2396.00	1224.00	-16364.00	38.43
47	61740	81	105	79	70	102	97	81	81	86	77	96	82	70	87	85	81	84	88	105	82	72	106	103	74	3060.00	1848.00	-3113.00	-1000.00	-2184.00	-16964.00	38.25
48	63460	70	87	85	81	84	88	105	82	72	106	103	74	109	78	92	106	82	70	108	95	90	102	93	71	-1335.00	27.00	-526.00	-2688.00	60.00	-15984.00	37.18
49	64658	109	78	92	106	82	70	108	95	90	102	93	71	91	103	81	89	86	84	84	87	87	70	101	84	-923.00	396.00	-277.00	-2388.00	2448.00	-16988.00	39.39
50	65984	91	103	81	89	86	84	84	87	87	70	101	84	107	94	100	109	79	74	82	84	93	89	103	71	-1299.00	678.00	1398.00	1284.00	1736.00	-23988.00	40.04
51	66982	107	94	100	109	79	74	82	84	93	89	103	71	83	86	91	81	70	77	102	71	101	75	104	86	-2438.00	-1036.00	-2514.00	-928.00	1824.00	-20644.00	37.90
52	68758	83	86	91	81	70	77	102	71	101	75	104	86	96	94	89	79	78	87	108	79	78	109	99	78	1532.00	-1577.00	-487.00	436.00	3332.00	-17448.00	39.37
53	69756	96	94	89	79	78	87	108	79	78	109	99	78	89	87	108	73	70	71	88	96	108	93	96	78	62.00	814.00	-2071.00	-2800.00	-8.00	-15000.00	38.03
54	71484	89	87	108	73	70	71	88	96	108	93	96	78	109	107	103	83	101	74	102	81	98	80	100	95	-203.00	47.00	-102.00	-1556.00	2420.00	-17204.00	39.46
55	72530	109	107	103	83	101	74	102	81	98	80	100	95	109	77	73	76	73	94	106	94	76	74	104	77	1687.00	-1250.00	2329.00	-1332.00	1036.00	-16548.00	38.74
56	73702	109	77	73	76	73	94	106	94	76	74	104	77	100	75	82	95	76	70	73	75	95	74	70	90	2838.00	325.00	-7603.00	84.00	1236.00	-16568.00	39.21
57	75064	100	75	82	95	76	70	73	75	95	74	70	90	109	98	107	72	88	99	105	109	71	104	96	96	-826.00	995.00	5780.00	-1340.00	2540.00	-18848.00	39.66
58	76132	109	98	107	72	88	99	105	109	71	104	96	96	71	74	88	81	70	94	98	107	104	109	83	89	-190.00	-106.00	-78.00	-2272.00	-768.00	-15900.00	36.98
59	77350	71	74	88	81	70	94	98	107	104	109	83	89	91	86	92	83	98	108	81	70	82	85	83	106	-888.00	-532.00	-2004.00	-2312.00	1152.00	-16512.00	36.53
60	78394	91	86	92	83	98	108	81	70	82	85	83	106	97	102	78	109	84	87	91	104	86	88	93	86	563.00	1137.00	5314.00	-2716.00	540.00	-18248.00	37.45
61	79549	97	102	78	109	84	87	91	104	86	88	93	86	74	73	82	72	86	78	101	85	102	87	75	91	-3486.00	1028.00	2746.00	-456.00	4344.00	-17784.00	36.56
62	81118	74	73	82	72	86	78	101	85	102	87	75	91	98	109	109	109	105	72	90	75	75	104	72	70	519.00	-2.00	-488.00	-1528.00	1496.00	-18280.00	36.78
63	82297	98	109	109	109	105	72	90	75	75	104	72	70	104	71	88	102	81	92	105	102	72	71	89	70	-2777.00	372.00	-4133.00	-88.00	-1388.00	-17324.00	37.36
64	83657	104	71	88	102	81	92	105	102	72	71	89	70	105	74	103	78	85	71	94	86	94	72	93	108	-323.00	135.00	32.00	-1708.00	672.00	-17184.00	38.55
65	85064	105	74	103	78	85	71	94	86	94	72	93	108	98	109	93	89	107	92	89	100	80	85	92	100	-1861.00	1265.00	6787.00	-1632.00	1208.00	-29116.00	38.36
66	86228	98	109	93	89	107	92	89	100	80	85	92	100	78	89	83	101	92	103	106	99	93	79	92	102	189.00	-338.00	-1039.00	-1564.00	-412.00	-16892.00	35.88
