N T EM1 EM2 EM3 EM4 EM5 EM6 EM7 EM8 EM9 EM10 EM11 EM12 CM1 CM2 CM3 CM4 CM5 CM6 CM7 CM8 CM9 CM10 CM11 CM12 GyX GyY GyZ AcX AcY AcZ Tmp HCSR X Y Z
{0 5338 93 93 93 93 93 93 93 93 93 93 93 93 109 90 90 90 90 90 90 90 60 90 90 90 2.13 -0.68 -0.47 0.86 -0.18 -1.34 28.44 58.99 -11.39 -6.31 -27.47 }
{2 5376 109 90 90 90 90 90 90 90 60 90 90 90 109 90 90 90 90 90 90 90 60 90 90 90 12.86 8.07 0.23 0.63 -0.23 -1.35 28.58 59.13 -24.83 0.98 -27.28 }
{4 5413 67 90 90 90 109 77 90 90 60 90 90 90 67 90 90 90 109 77 90 90 60 90 90 90 48.16 3.62 6.44 2.76 1.06 -1.69 28.48 59.75 -36.26 0.72 -27.08 }
{6 5449 67 90 90 90 109 77 90 90 60 90 90 90 67 90 90 90 109 77 90 90 60 90 90 90 -34.68 21.15 -6.50 0.32 0.08 -5.14 28.44 59.50 -49.91 8.18 -27.30 }
{8 5487 67 90 90 90 109 77 90 90 60 90 90 90 67 90 90 90 109 77 90 90 60 90 90 90 -62.09 3.20 -26.56 0.35 -1.06 -0.53 28.48 58.65 -63.96 7.93 -28.00 }
{10 5524 67 90 90 90 109 77 113 64 60 90 90 90 67 90 90 90 109 77 113 64 60 90 90 90 -20.70 13.50 -1.04 0.87 0.03 1.16 28.53 58.70 -76.23 14.79 -28.46 }
{12 5562 82 90 90 90 73 77 108 64 60 90 90 90 82 90 90 90 73 77 108 64 60 90 90 90 24.74 16.75 61.89 0.51 1.35 -3.71 28.53 58.88 -79.68 21.31 -26.53 }
{14 5600 82 90 90 90 73 77 108 64 77 90 104 90 82 90 90 90 73 77 108 64 77 90 104 90 -34.96 -12.94 -40.18 1.53 -0.72 -2.37 28.58 58.92 -91.24 19.69 -27.89 }
{16 5637 82 90 90 90 73 77 108 64 77 90 104 90 82 90 82 90 73 77 108 64 77 117 104 90 -60.67 -48.25 40.02 0.18 1.49 -3.31 28.44 59.75 -96.02 31.50 -27.09 }
{18 5675 82 90 82 90 73 77 108 64 77 117 104 90 82 90 82 90 73 77 108 64 77 117 104 90 40.55 -47.14 23.63 -0.39 0.63 1.50 28.48 59.73 -99.60 41.40 -25.95 }
{20 5712 82 90 82 90 89 77 108 64 77 117 104 90 82 90 82 90 89 77 108 64 77 117 104 90 -47.37 -45.52 -2.20 -2.28 1.18 -1.63 28.44 60.15 -104.22 46.18 -25.08 }
{22 5750 82 90 82 90 115 77 108 64 102 117 104 90 82 90 82 90 115 110 108 64 102 117 104 90 -9.74 -11.75 18.95 -0.86 -3.22 -3.19 28.62 59.95 -115.26 57.82 -24.62 }
