N T EM1 EM2 EM3 EM4 EM5 EM6 EM7 EM8 EM9 EM10 EM11 EM12 CM1 CM2 CM3 CM4 CM5 CM6 CM7 CM8 CM9 CM10 CM11 CM12 GyX GyY GyZ AcX AcY AcZ Tmp HCSR X Y Z
{220 13986 89 90 89 89 89 89 89 90 89 89 89 90 89 90 89 89 89 89 89 90 89 89 89 90 1.67 -0.54 -0.32 0.80 0.66 -1.42 29.28 54.30 0.97 -5.32 -23.61 }
{224 14141 90 90 90 90 89 89 89 90 90 89 90 89 90 90 90 90 89 89 89 90 90 89 90 89 1.96 -0.73 -0.23 0.81 0.56 -1.40 29.19 54.30 0.97 -5.30 -23.57 }
{228 14296 89 90 89 89 89 90 90 90 89 89 89 90 89 90 89 89 89 90 90 90 89 89 89 90 1.32 -0.50 -1.60 0.72 0.63 -1.41 29.28 54.01 0.94 -5.32 -23.53 }
{232 14449 89 90 89 89 89 90 90 90 89 89 89 90 89 90 89 89 89 90 90 90 89 89 89 90 1.70 -0.79 -0.38 0.78 0.67 -1.38 29.24 53.85 0.92 -5.32 -23.43 }
{236 14606 90 89 89 90 89 90 90 89 89 90 90 90 90 89 89 90 89 90 90 89 89 90 90 90 1.76 -0.47 -0.46 0.75 0.64 -1.40 29.28 54.30 0.92 -5.31 -23.36 }
{240 14759 90 89 89 90 89 90 90 89 89 90 90 90 90 89 89 90 89 90 90 89 89 90 90 90 1.73 -0.76 -0.50 0.77 0.60 -1.32 29.28 53.99 0.89 -5.28 -23.33 }
{244 14915 89 90 90 90 89 89 90 89 90 90 89 90 89 90 90 90 89 89 90 89 90 90 89 90 1.93 -0.64 -0.76 0.78 0.67 -1.44 29.24 54.01 0.88 -5.29 -23.23 }
{248 15069 89 90 90 90 89 89 90 89 90 90 89 90 89 90 90 90 89 89 90 89 90 90 89 90 1.96 -0.62 -0.35 0.77 0.59 -1.39 29.28 53.83 0.88 -5.28 -23.08 }
{252 15225 89 90 90 90 90 89 89 89 89 89 89 89 89 90 90 90 90 89 89 89 89 89 89 89 1.44 -0.47 -0.84 0.72 0.51 -1.35 29.33 53.85 0.86 -5.26 -23.00 }
{256 15379 89 90 90 90 90 89 89 89 89 89 89 89 89 90 90 90 90 89 89 89 89 89 89 89 1.81 -0.57 -1.11 0.75 0.65 -1.36 29.28 54.01 0.85 -5.27 -22.96 }
{260 15534 89 90 90 90 90 89 89 89 89 89 89 89 89 90 90 90 90 89 89 89 89 89 89 89 1.87 -0.67 -0.78 0.71 0.65 -1.40 29.24 53.87 0.86 -5.29 -22.86 }
{264 15690 89 90 89 90 89 90 90 89 90 90 89 90 89 90 89 90 89 90 90 89 90 90 89 90 1.74 -0.68 -0.41 0.76 0.65 -1.36 29.33 53.85 0.85 -5.28 -22.73 }
{268 15844 89 90 89 90 89 90 90 89 90 90 89 90 89 90 89 90 89 90 90 89 90 90 89 90 1.82 -0.56 -0.49 0.75 0.64 -1.47 29.33 53.87 0.84 -5.28 -22.65 }
{272 15998 89 90 89 90 89 90 90 89 90 90 89 90 89 90 89 90 89 90 90 89 90 90 89 90 1.81 -0.70 -0.72 0.78 0.64 -1.39 29.38 54.54 0.83 -5.28 -22.58 }
{276 16155 90 89 89 89 90 90 89 90 90 89 90 90 90 89 89 89 90 90 89 90 90 89 90 90 1.94 -0.50 -0.66 0.76 0.61 -1.44 29.28 53.89 0.81 -5.30 -22.49 }
{280 16310 90 90 89 89 89 90 89 90 90 90 90 89 90 90 89 89 89 90 89 90 90 90 90 89 1.82 -0.77 -0.30 0.74 0.69 -1.39 29.28 54.01 0.82 -5.29 -22.36 }
{284 16463 90 90 89 89 89 90 89 90 90 90 90 89 90 90 89 89 89 90 89 90 90 90 90 89 1.76 -0.59 -0.75 0.78 0.61 -1.44 29.28 53.85 0.82 -5.31 -22.29 }
{288 16620 89 90 90 89 89 90 90 90 89 90 90 90 89 90 90 89 89 90 90 90 89 90 90 90 1.78 -0.28 -0.47 0.67 0.59 -1.37 29.28 54.01 0.83 -5.33 -22.22 }
{292 16774 89 90 90 89 89 90 90 90 89 90 90 90 89 90 90 89 89 90 90 90 89 90 90 90 1.90 -0.65 -0.37 0.74 0.65 -1.44 29.28 53.87 0.84 -5.33 -22.10 }
{296 16928 89 90 90 89 89 90 90 90 89 90 90 90 89 90 90 89 89 90 90 90 89 90 90 90 1.88 -0.57 -0.52 0.81 0.68 -1.37 29.24 54.32 0.84 -5.32 -22.01 }
{300 17085 89 89 90 89 90 90 89 89 89 89 90 89 89 89 90 89 90 90 89 89 89 89 90 89 1.82 -0.68 -0.67 0.84 0.64 -1.37 29.24 53.87 0.84 -5.31 -21.96 }
{304 17241 90 89 89 90 89 89 89 89 90 90 90 89 90 89 89 90 89 89 89 89 90 90 90 89 1.96 -0.51 -0.81 0.78 0.70 -1.45 29.28 54.01 0.82 -5.29 -21.85 }
{308 17393 90 89 89 90 89 89 89 89 90 90 90 89 90 89 89 90 89 90 89 89 89 89 90 90 1.93 -0.48 -0.67 0.65 0.67 -1.34 29.28 53.85 0.83 -5.28 -21.73 }
{312 17550 90 90 89 89 89 90 90 90 89 90 89 89 90 90 89 89 89 90 90 90 89 90 89 89 1.85 -0.74 -0.40 0.77 0.61 -1.39 29.28 53.85 0.82 -5.25 -21.64 }
{316 17704 90 90 90 90 90 90 90 89 90 90 90 90 90 90 90 90 90 90 90 89 90 90 90 90 2.32 -1.23 -0.06 0.74 0.50 -1.30 29.33 53.87 0.83 -5.24 -21.57 }
{320 17858 90 90 90 90 90 90 90 89 90 90 90 90 90 90 90 90 90 90 90 89 90 90 90 90 1.73 -0.88 -1.85 0.93 0.67 -1.44 29.33 54.18 0.84 -5.24 -21.47 }
{324 18015 90 89 90 89 90 89 89 90 89 89 90 90 90 89 90 89 90 89 89 90 89 89 90 90 2.13 -0.90 -0.23 0.75 0.50 -1.36 29.28 53.87 0.89 -5.24 -21.25 }
{328 18168 90 89 90 89 90 89 89 90 89 89 90 90 90 89 90 89 90 89 89 90 89 89 90 90 1.65 -0.65 -0.90 0.78 0.62 -1.34 29.24 53.85 0.88 -5.25 -21.18 }
{332 18325 90 89 90 90 90 90 89 89 90 89 89 90 90 89 90 90 90 90 89 89 90 89 89 90 1.96 -0.79 -0.82 0.76 0.62 -1.35 29.28 53.89 0.87 -5.22 -21.11 }
{336 18480 90 90 89 90 90 90 90 90 89 89 90 89 90 90 89 90 90 90 90 90 89 89 90 89 1.78 -0.57 -0.61 0.71 0.70 -1.37 29.28 54.54 0.91 -5.25 -21.00 }
{340 18633 90 90 89 90 90 90 90 90 89 89 90 89 90 90 89 90 90 90 90 90 89 89 90 89 2.10 -0.53 0.09 0.75 0.63 -1.47 29.28 53.85 0.89 -5.26 -20.93 }
{344 18789 90 90 90 90 89 90 90 89 89 89 90 89 90 90 90 90 89 90 90 89 89 89 90 89 2.19 -0.61 -0.21 0.76 0.64 -1.34 29.33 54.01 0.90 -5.27 -20.87 }
{348 18944 90 89 90 90 89 90 90 90 89 90 90 89 90 89 90 90 89 90 90 90 89 90 90 89 1.68 -0.59 -0.84 0.83 0.66 -1.41 29.28 53.85 0.88 -5.26 -20.84 }
{352 19097 90 89 90 90 89 90 90 90 89 90 90 89 90 89 90 90 89 90 90 90 89 90 90 89 1.88 -0.79 -0.88 0.70 0.65 -1.26 29.28 54.03 0.90 -5.25 -20.71 }
{356 19252 90 89 90 90 89 90 90 90 89 90 90 89 90 89 90 90 89 90 90 90 89 90 90 89 1.85 -0.47 -0.72 0.76 0.66 -1.35 29.28 53.85 0.89 -5.25 -20.57 }
{360 19408 89 90 90 89 90 90 90 89 89 90 90 89 89 90 90 89 90 90 90 89 89 90 90 89 1.76 -0.68 -1.07 0.73 0.63 -1.40 29.28 53.85 0.88 -5.21 -20.47 }
{364 19562 89 90 90 89 90 90 90 89 89 90 90 89 89 90 90 89 90 90 90 89 89 90 90 89 2.83 -0.93 -0.82 0.82 0.50 -1.36 29.24 53.47 0.93 -5.21 -20.36 }
{368 19717 89 90 90 89 90 90 90 89 89 90 90 89 89 90 90 89 90 90 90 89 89 90 90 89 1.84 -0.67 -0.50 0.68 0.60 -1.34 29.28 53.47 0.92 -5.22 -20.24 }
{372 19873 89 89 90 90 89 90 90 89 89 90 89 89 89 89 90 90 89 90 90 89 89 90 89 89 1.81 -0.76 -0.75 0.79 0.66 -1.24 29.38 53.87 0.90 -5.21 -20.16 }
{376 20027 89 89 90 90 89 90 90 89 89 90 89 89 89 89 90 90 89 90 90 89 89 90 89 89 1.85 -0.62 -0.95 0.72 0.67 -1.50 29.19 54.36 0.91 -5.20 -20.07 }
{380 20184 89 90 90 89 90 89 90 90 90 89 89 90 89 90 90 89 90 89 90 90 90 89 89 90 1.97 -0.82 -0.70 0.78 0.65 -1.52 29.28 53.87 0.91 -5.18 -19.94 }
{384 20337 89 90 90 89 90 89 90 90 90 89 89 90 89 90 90 89 90 89 90 90 90 89 89 90 1.82 -0.50 -0.29 0.75 0.64 -1.35 29.24 54.36 0.93 -5.17 -19.81 }
{388 20493 89 90 90 90 90 90 90 89 89 90 90 90 89 90 90 90 90 90 90 89 89 90 90 90 1.82 -0.68 -0.47 0.73 0.59 -1.28 29.33 53.87 0.94 -5.16 -19.75 }
{392 20647 89 90 90 90 89 90 89 90 89 90 90 89 89 90 90 90 89 90 89 90 89 90 90 89 1.74 -0.50 -0.69 0.76 0.61 -1.36 29.19 53.85 0.95 -5.16 -19.67 }
{396 20801 89 90 90 90 89 90 89 90 89 90 90 89 89 90 90 90 89 90 89 90 89 90 90 89 1.79 -0.71 -0.59 0.69 0.63 -1.34 29.28 54.50 0.96 -5.18 -19.56 }
{400 20958 89 89 90 89 89 89 89 89 90 90 90 90 89 89 90 89 89 89 89 89 90 90 90 90 1.62 -0.50 -0.99 0.75 0.60 -1.27 29.33 54.01 0.96 -5.18 -19.47 }
{404 21111 89 89 90 89 89 89 89 89 90 90 90 90 89 89 90 89 89 89 89 89 90 90 90 90 1.79 -0.36 -0.79 0.76 0.60 -1.34 29.28 53.85 0.94 -5.19 -19.40 }
{408 21268 90 89 90 90 90 89 89 89 89 90 90 90 90 89 90 90 90 89 89 89 89 90 90 90 1.87 -0.79 -0.79 0.78 0.66 -1.38 29.28 54.03 0.90 -5.19 -19.31 }
{412 21423 89 90 89 90 90 89 89 90 89 90 89 89 89 90 89 90 90 89 89 90 89 90 89 89 1.84 -0.85 -0.63 0.75 0.65 -1.39 29.24 54.36 0.91 -5.20 -19.18 }
{416 21576 89 90 89 90 90 89 89 90 89 90 89 89 89 90 89 90 90 89 89 90 89 90 89 89 2.36 -0.16 -0.30 0.74 0.61 -1.46 29.33 53.43 0.91 -5.20 -19.11 }
{420 21731 89 90 89 90 90 89 89 90 89 90 89 89 89 90 89 90 90 89 89 90 89 90 89 89 1.71 -0.56 -1.16 0.84 0.62 -1.38 29.24 53.85 0.94 -5.18 -19.04 }
{424 21888 89 89 89 89 89 90 90 90 90 90 90 90 89 89 89 89 89 90 90 90 90 90 90 90 1.96 -0.57 -0.92 0.71 0.68 -1.38 29.33 53.85 0.91 -5.20 -18.92 }
{428 22041 89 89 89 89 89 90 90 90 90 90 90 90 89 89 89 89 89 90 90 90 90 90 90 90 1.73 -0.65 -0.49 0.76 0.60 -1.36 29.28 54.50 0.94 -5.19 -18.79 }
{432 22196 89 89 89 89 89 90 90 90 90 90 90 90 89 89 90 90 90 90 89 90 90 90 89 89 1.88 -0.64 -0.32 0.86 0.67 -1.34 29.28 53.42 0.94 -5.19 -18.73 }
{436 22351 89 89 90 90 90 90 89 90 90 90 89 89 89 89 90 90 90 90 89 90 90 90 89 89 1.81 -0.56 -0.66 0.73 0.65 -1.43 29.38 53.85 0.93 -5.17 -18.68 }
{440 22506 89 89 90 90 90 90 89 90 90 90 89 89 89 89 90 90 90 90 89 90 90 90 89 89 1.88 -0.65 -0.64 0.74 0.62 -1.34 29.33 54.36 0.92 -5.20 -18.56 }
{444 22663 89 89 90 90 90 89 90 90 89 89 90 89 89 89 90 90 90 89 90 90 89 89 90 89 1.32 -0.45 -1.39 0.76 0.63 -1.37 29.38 54.50 0.92 -5.20 -18.48 }
{448 22816 89 89 90 90 90 89 90 90 89 89 90 89 89 89 90 90 90 89 90 90 89 89 90 89 1.87 -0.71 -0.46 0.82 0.66 -1.42 29.38 53.85 0.91 -5.21 -18.38 }
{452 22971 89 89 90 90 90 89 90 90 89 89 90 89 89 89 90 90 90 89 90 90 89 89 90 89 1.85 -0.57 -0.79 0.72 0.60 -1.38 29.33 54.36 0.91 -5.23 -18.31 }
{456 23128 89 89 89 89 89 89 89 90 90 89 90 90 89 89 89 89 89 89 89 90 90 89 90 90 1.94 -0.73 -0.85 0.79 0.59 -1.38 29.28 53.42 0.90 -5.23 -18.16 }
{460 23281 89 89 89 89 89 89 89 90 90 89 90 90 89 89 89 89 89 89 89 90 90 89 90 90 1.82 -0.67 -0.21 0.81 0.64 -1.41 29.28 54.56 0.90 -5.23 -18.08 }
{464 23436 89 89 89 89 89 89 89 90 90 89 90 90 89 89 89 89 89 89 89 90 90 89 90 90 1.70 -0.61 -0.69 0.68 0.58 -1.27 29.28 53.87 0.93 -5.24 -18.04 }
{468 23592 89 90 89 90 90 90 90 90 90 90 89 89 89 90 89 90 90 90 90 90 90 90 89 89 1.81 -0.70 -0.73 0.87 0.67 -1.34 29.33 53.87 0.91 -5.22 -17.99 }
{472 23746 89 90 89 90 90 90 90 90 90 90 89 89 89 90 89 90 90 90 90 90 90 90 89 89 1.90 -0.85 -0.52 0.72 0.60 -1.42 29.28 53.87 0.89 -5.22 -17.87 }
{476 23903 89 89 89 90 89 89 89 89 89 90 90 89 89 89 89 90 89 89 89 89 89 90 90 89 1.79 -0.59 -0.70 0.75 0.65 -1.38 29.28 54.01 0.87 -5.22 -17.77 }
{480 24055 89 89 89 90 89 89 89 89 89 90 90 89 89 89 89 90 89 89 89 89 89 90 90 89 1.78 -0.51 -0.90 0.76 0.62 -1.34 29.38 53.87 0.89 -5.21 -17.70 }
{484 24212 89 90 89 90 90 90 89 90 89 89 89 89 89 90 89 90 90 90 89 90 89 89 89 89 1.93 -0.67 -0.46 0.75 0.59 -1.38 29.28 52.87 0.89 -5.20 -17.59 }
{488 24366 89 90 89 90 90 90 89 90 89 89 89 89 89 90 89 90 90 90 89 90 89 89 89 89 1.81 -0.53 -0.53 0.77 0.62 -1.36 29.33 53.42 0.91 -5.20 -17.46 }
{492 24520 89 90 89 90 90 90 89 90 89 89 89 89 89 90 89 90 90 90 89 90 89 89 89 89 1.81 -0.45 -0.63 0.78 0.63 -1.41 29.24 54.16 0.91 -5.22 -17.40 }
{496 24677 90 89 89 90 89 90 89 90 89 89 90 90 90 89 89 90 89 90 89 90 89 89 90 90 1.84 -0.53 -1.04 0.71 0.62 -1.38 29.33 54.37 0.92 -5.21 -17.32 }
{500 24830 90 89 89 90 89 90 89 90 89 89 90 90 90 89 89 90 89 90 89 90 89 89 90 90 1.84 -0.88 -0.46 0.77 0.61 -1.39 29.24 54.34 0.93 -5.23 -17.23 }
{504 24985 90 89 89 90 89 90 89 90 89 89 90 90 90 89 90 90 90 89 90 90 90 89 90 90 1.85 -0.62 -0.26 0.79 0.61 -1.33 29.38 53.85 0.91 -5.23 -17.14 }
{508 25142 89 90 90 89 89 89 90 89 90 89 90 89 89 90 90 89 89 89 90 89 90 89 90 89 2.07 -0.70 -0.81 0.74 0.64 -1.38 29.33 54.10 0.93 -5.24 -17.00 }
{512 25296 89 90 90 89 90 89 90 90 89 89 89 89 89 90 90 89 90 89 90 90 89 89 89 89 1.59 -0.71 -1.51 0.80 0.68 -1.27 29.28 54.01 0.92 -5.22 -16.93 }
{516 25450 89 90 90 89 90 89 90 90 89 89 89 89 89 90 90 89 90 89 90 90 89 89 89 89 1.81 -0.50 -0.37 0.79 0.62 -1.39 29.19 53.85 0.94 -5.24 -16.81 }
