N T EM1 EM2 EM3 EM4 EM5 EM6 EM7 EM8 EM9 EM10 EM11 EM12 CM1 CM2 CM3 CM4 CM5 CM6 CM7 CM8 CM9 CM10 CM11 CM12 GyX GyY GyZ AcX AcY AcZ Tmp HCSR X Y Z
{0 5537 93 93 93 93 93 93 93 93 93 93 93 93 90 90 90 89 89 89 89 89 90 90 89 90 1.78 -0.64 -0.43 0.85 0.52 -1.29 29.33 54.41 0.03 -1.90 -25.86 }
{4 5681 89 90 90 90 90 89 89 90 90 90 90 89 89 90 90 90 90 89 89 90 90 90 90 89 0.25 -1.38 -1.36 0.88 0.87 -1.36 29.38 53.80 0.02 -2.13 -26.05 }
{8 5830 89 90 90 90 90 89 89 90 90 90 90 89 89 90 90 90 90 89 89 90 90 90 90 89 1.39 -2.10 -7.08 0.89 0.93 -1.77 29.28 54.25 6.88 -2.76 -28.04 }
{12 5983 90 89 89 90 90 89 89 90 89 90 90 90 90 89 89 90 90 89 89 90 89 90 90 90 2.54 -0.68 -0.78 1.08 0.69 -1.60 29.28 53.96 6.41 -2.95 -27.90 }
{16 6134 90 89 89 90 90 89 89 90 89 90 90 90 90 89 89 90 90 89 89 90 89 90 90 90 1.99 -0.41 -0.72 0.63 0.54 -1.31 29.24 54.08 6.02 -3.17 -27.94 }
{20 6287 90 89 89 90 90 89 89 90 89 90 90 90 90 89 89 90 90 89 89 90 89 90 90 90 2.26 -0.77 0.15 0.64 0.63 -1.36 29.28 53.80 5.62 -3.29 -27.89 }
{24 6440 90 90 89 90 89 90 90 89 90 89 90 90 90 90 89 90 89 90 90 89 90 89 90 90 1.71 -0.30 0.12 0.83 0.50 -1.33 29.28 54.30 5.24 -3.47 -27.82 }
{28 6591 90 90 89 90 89 90 90 89 90 89 90 90 90 90 89 90 89 90 90 89 90 89 90 90 1.79 -0.30 0.87 0.75 0.56 -1.31 29.14 53.32 4.84 -3.66 -27.91 }
{32 6743 90 90 89 90 89 90 90 89 90 89 90 90 90 90 89 90 89 90 90 89 90 89 90 90 1.61 -0.48 -0.49 0.74 0.62 -1.41 29.28 53.85 4.48 -3.74 -27.84 }
{36 6897 89 89 89 89 89 89 89 90 89 89 90 89 89 89 89 89 89 89 89 90 89 89 90 89 1.62 -0.76 -1.05 0.70 0.59 -1.38 29.24 54.45 4.17 -3.85 -27.80 }
{40 7050 90 90 89 89 90 89 90 90 90 90 89 90 90 90 90 89 90 90 90 90 90 89 90 89 1.61 -0.38 -0.92 0.76 0.58 -1.40 29.33 54.30 3.90 -3.95 -27.68 }
{44 7201 90 90 90 89 90 90 90 90 90 89 90 89 90 90 90 89 90 90 90 90 90 89 90 89 1.55 -0.41 -0.43 0.70 0.62 -1.40 29.19 54.30 3.65 -4.05 -27.57 }
{48 7356 90 90 89 89 89 89 90 89 89 90 90 90 90 90 89 89 89 89 90 89 89 90 90 90 1.78 -0.56 -0.67 0.72 0.65 -1.44 29.24 54.54 3.41 -4.16 -27.50 }
{52 7507 90 90 89 89 89 89 90 89 89 90 90 90 90 90 89 89 89 89 90 89 89 90 90 90 1.78 -0.68 -0.75 0.71 0.59 -1.40 29.28 53.85 3.23 -4.25 -27.42 }
{56 7662 90 89 90 90 89 89 90 90 90 90 90 89 90 89 90 90 89 89 90 90 90 90 90 89 1.96 -0.64 -0.38 0.74 0.63 -1.44 29.14 53.87 3.03 -4.34 -27.30 }
{60 7815 90 89 89 89 90 89 89 90 89 90 89 89 89 90 89 89 90 90 90 89 90 90 89 90 1.84 -0.67 -0.58 0.73 0.68 -1.35 29.28 54.54 2.87 -4.41 -27.22 }
{64 7967 90 89 89 89 90 90 89 89 89 90 90 89 90 89 89 89 90 90 89 89 89 90 90 89 2.31 -0.67 -0.40 0.75 0.66 -1.40 29.33 54.30 2.72 -4.47 -27.16 }
{68 8119 90 89 89 89 90 90 89 89 89 90 90 89 90 89 89 89 90 90 89 89 89 90 90 89 1.82 -0.50 -0.61 0.76 0.62 -1.45 29.38 54.30 2.57 -4.52 -27.06 }
{72 8273 90 89 90 89 90 89 90 89 89 89 89 89 90 89 90 89 90 89 90 89 89 89 89 89 1.74 -0.54 -0.40 0.77 0.62 -1.37 29.24 54.45 2.46 -4.59 -26.96 }
{76 8426 89 89 89 90 89 89 89 89 90 90 90 90 89 89 89 90 89 89 89 89 90 90 90 90 1.39 -0.41 -1.02 0.74 0.62 -1.43 29.24 53.85 2.33 -4.65 -26.89 }
{80 8578 89 89 89 90 89 89 89 89 90 90 90 90 89 89 89 90 89 89 89 89 90 90 90 90 1.87 -0.88 -0.98 0.74 0.65 -1.49 29.14 54.46 2.21 -4.70 -26.81 }
{84 8732 89 90 90 90 89 90 90 89 89 89 90 90 89 90 90 90 89 90 90 89 89 89 90 90 1.61 -0.82 -0.69 0.72 0.58 -1.39 29.19 53.36 2.13 -4.77 -26.66 }
{88 8883 89 90 90 90 89 90 90 89 89 89 90 90 89 90 90 90 89 90 90 89 89 89 90 90 1.81 -0.47 -0.23 0.78 0.68 -1.46 29.24 53.36 2.04 -4.81 -26.55 }
{92 9036 89 90 90 90 89 90 90 89 89 89 90 90 89 90 90 90 89 90 90 89 89 89 90 90 1.65 -0.44 -0.87 0.78 0.65 -1.38 29.19 54.16 1.95 -4.85 -26.52 }
{96 9190 89 89 90 90 89 89 90 89 89 89 90 90 89 89 90 90 89 89 90 89 89 89 90 90 1.96 -0.71 -0.64 0.76 0.60 -1.34 29.28 53.87 1.85 -4.88 -26.41 }
{100 9341 89 89 90 90 89 89 90 89 89 89 90 90 89 89 90 90 89 89 90 89 89 89 90 90 1.78 -0.61 -0.38 0.71 0.66 -1.45 29.24 53.87 1.78 -4.91 -26.30 }
{104 9497 90 90 90 90 90 89 89 90 89 90 90 90 90 90 90 90 90 89 89 90 89 90 90 90 2.36 -0.83 -0.26 0.76 0.75 -1.41 29.24 54.01 1.71 -4.95 -26.22 }
{108 9650 90 90 90 90 90 89 89 90 89 90 90 90 90 90 90 90 90 89 89 90 89 90 90 90 1.64 -0.38 -1.16 0.70 0.66 -1.45 29.38 54.30 1.63 -4.98 -26.15 }
{112 9805 89 90 89 90 90 89 90 89 90 89 89 89 89 90 89 90 90 89 90 89 90 89 89 89 1.53 -0.59 -0.52 0.78 0.62 -1.36 29.28 53.85 1.52 -5.00 -26.09 }
{116 9958 89 90 89 90 90 89 90 89 90 89 89 89 89 90 89 90 90 89 90 89 90 89 89 89 1.76 -0.51 -0.05 0.74 0.66 -1.36 29.24 53.94 1.48 -5.04 -25.99 }
{120 10112 89 90 89 90 90 89 90 89 90 89 89 89 89 90 89 90 90 89 90 89 90 89 89 89 1.78 -0.82 -0.58 0.73 0.65 -1.39 29.28 54.32 1.45 -5.06 -25.94 }
{124 10268 90 90 90 90 90 90 89 90 90 89 90 89 90 90 90 90 90 90 89 90 90 89 90 89 1.79 -0.70 -0.75 0.77 0.60 -1.29 29.24 53.85 1.39 -5.07 -25.87 }
{128 10423 89 90 90 89 89 89 90 90 90 90 90 90 89 90 90 89 89 89 90 90 90 90 90 90 1.70 -0.57 -0.35 0.73 0.71 -1.27 29.19 53.87 1.36 -5.08 -25.76 }
{132 10579 89 89 90 89 89 89 89 89 89 89 90 89 89 89 90 89 89 89 89 89 89 89 90 89 1.76 -0.44 -0.50 0.74 0.67 -1.39 29.19 53.85 1.30 -5.10 -25.67 }
{136 10731 89 89 90 89 89 89 89 89 89 89 90 89 89 89 90 89 89 89 89 89 89 89 90 89 2.00 -0.25 -0.87 0.72 0.62 -1.29 29.33 53.87 1.29 -5.11 -25.57 }
{140 10886 89 89 90 89 89 89 89 89 89 89 90 89 89 89 90 89 89 89 89 89 89 89 90 89 2.13 -0.74 -0.69 0.78 0.64 -1.51 29.24 54.30 1.25 -5.12 -25.49 }
{144 11043 89 90 89 90 90 90 90 90 90 90 90 89 89 90 89 90 90 90 90 90 90 90 90 89 1.67 -0.62 -0.52 0.77 0.65 -1.44 29.28 53.87 1.21 -5.14 -25.34 }
{148 11198 89 90 89 89 89 89 89 89 90 89 89 90 89 90 89 89 89 89 89 89 90 89 89 90 1.67 -0.67 -0.99 0.76 0.60 -1.29 29.33 54.46 1.18 -5.14 -25.24 }
{152 11353 90 89 89 89 90 90 89 89 90 90 90 90 90 89 89 89 90 90 89 89 90 90 90 90 2.08 -0.86 -0.79 0.81 0.70 -1.29 29.24 54.32 1.19 -5.18 -25.15 }
{156 11506 90 89 89 89 90 90 89 89 90 90 90 90 90 89 89 89 90 90 89 89 90 90 90 90 1.78 -0.57 -0.79 0.74 0.71 -1.34 29.24 54.30 1.19 -5.19 -25.01 }
{160 11663 89 90 90 90 89 90 90 90 89 89 89 89 89 90 90 90 89 90 90 90 89 89 89 89 1.74 -0.56 -0.24 0.69 0.62 -1.38 29.33 54.30 1.15 -5.18 -24.87 }
{164 11815 89 90 90 90 89 90 90 90 89 89 89 89 89 90 90 90 89 90 90 90 89 89 89 89 1.79 -0.74 -0.18 0.75 0.68 -1.42 29.33 54.54 1.15 -5.20 -24.80 }
{168 11971 89 90 90 90 89 90 90 90 89 89 89 89 89 90 90 90 89 90 90 90 89 89 89 89 1.91 -0.50 -0.84 0.77 0.62 -1.36 29.28 54.30 1.12 -5.21 -24.73 }
{172 12128 90 90 89 89 90 89 90 89 89 89 90 90 90 90 89 89 90 89 90 89 89 89 90 90 1.85 -0.74 -0.41 0.81 0.65 -1.35 29.38 54.30 1.09 -5.22 -24.60 }
{176 12282 89 90 89 89 89 90 90 90 90 90 89 90 89 90 89 89 89 90 90 90 90 90 89 90 1.88 -0.64 -0.41 0.82 0.65 -1.44 29.24 53.78 1.09 -5.23 -24.50 }
{180 12436 89 90 89 89 89 90 90 90 90 90 89 90 89 90 89 89 89 90 90 90 90 90 89 90 1.87 -0.44 -0.85 0.69 0.61 -1.35 29.24 54.30 1.07 -5.22 -24.46 }
{184 12591 89 90 89 89 89 90 90 90 90 90 89 90 89 90 89 89 89 90 90 90 90 90 89 90 1.82 -0.59 -0.78 0.78 0.65 -1.37 29.33 54.32 1.05 -5.22 -24.38 }
{188 12747 90 90 90 90 90 90 90 90 89 90 89 90 90 90 90 90 90 90 90 90 89 90 89 90 1.29 -0.54 -0.66 0.76 0.64 -1.32 29.19 54.30 1.03 -5.24 -24.26 }
{192 12901 90 90 90 90 90 90 90 90 89 90 89 90 90 90 90 90 90 90 90 90 89 90 89 90 2.05 -0.68 -0.21 0.75 0.59 -1.43 29.28 53.87 1.01 -5.24 -24.19 }
{196 13058 89 89 89 90 90 90 89 89 90 89 90 89 89 89 89 90 90 90 89 89 90 89 90 89 2.03 -0.74 -0.78 0.77 0.65 -1.34 29.33 54.61 1.00 -5.23 -24.12 }
{200 13210 89 89 89 90 90 90 89 89 90 89 90 89 89 89 89 90 90 90 89 89 90 89 90 89 1.85 -0.41 -0.73 0.81 0.67 -1.41 29.28 53.85 0.99 -5.24 -24.04 }
{204 13367 90 89 90 89 89 89 89 90 89 89 90 89 90 89 90 89 89 89 89 90 89 89 90 89 1.74 -0.45 -0.53 0.83 0.65 -1.35 29.24 53.32 0.99 -5.24 -23.94 }
{208 13522 90 89 90 90 89 89 90 89 90 90 89 89 90 89 90 90 89 89 90 89 90 90 89 89 1.88 -0.70 -0.34 0.78 0.63 -1.26 29.14 54.30 0.99 -5.24 -23.87 }
{212 13675 90 89 90 90 89 89 90 89 90 90 89 89 90 89 90 90 89 89 90 89 90 90 89 89 1.78 -0.74 -0.52 0.75 0.59 -1.41 29.28 54.01 0.98 -5.25 -23.84 }
{216 13831 90 89 90 90 89 89 90 89 90 90 89 89 90 89 90 90 89 89 90 89 90 90 89 89 2.71 -0.21 0.53 0.73 0.62 -1.27 29.33 54.30 0.99 -5.29 -23.73 }
