N T EM1 EM2 EM3 EM4 EM5 EM6 EM7 EM8 EM9 EM10 EM11 EM12 CM1 CM2 CM3 CM4 CM5 CM6 CM7 CM8 CM9 CM10 CM11 CM12 GyX GyY GyZ AcX AcY AcZ Tmp HCSR X Y Z
{0 5536 93 93 93 93 93 93 93 93 93 93 93 93 82 94 98 83 85 77 99 83 98 94 75 80 1.87 -0.76 -0.34 1.02 -0.24 -1.26 28.72 46.94 9.84 3.77 -26.73 }
{4 5679 89 97 97 89 94 89 97 89 94 91 92 89 77 102 98 82 94 85 97 78 94 84 92 85 -0.52 2.11 2.29 0.79 -0.12 -1.49 28.67 46.88 9.55 3.19 -26.52 }
{8 5829 85 101 98 85 94 85 97 85 94 87 92 85 77 102 98 82 94 85 97 78 94 84 92 85 -1.64 -0.67 -3.88 1.70 -0.16 -1.10 28.67 46.14 7.96 3.24 -28.60 }
{12 5985 84 99 101 87 91 88 94 82 95 83 94 88 84 93 101 100 82 101 77 82 95 78 94 94 -3.25 0.46 -0.29 0.75 0.56 -0.79 28.67 46.48 7.32 2.89 -28.70 }
{16 6139 84 95 101 91 87 92 90 82 95 79 94 92 84 93 101 100 82 101 77 82 95 78 94 94 7.15 -0.25 -7.72 1.15 -0.61 -0.45 28.62 46.28 7.16 2.60 -27.57 }
{20 6296 84 93 101 95 83 96 86 82 95 78 94 94 84 93 101 100 82 101 77 82 95 78 94 94 4.60 -0.51 1.95 1.58 -0.01 -1.55 28.67 45.98 7.01 2.04 -28.15 }
{24 6454 86 91 99 95 81 96 82 83 93 80 92 92 96 82 77 88 81 80 80 83 76 99 82 86 3.50 -1.00 -2.50 1.55 -0.42 -1.10 28.67 46.39 6.82 1.52 -28.46 }
{28 6606 90 87 95 91 81 92 80 83 89 84 88 88 96 82 77 88 81 80 80 83 76 99 82 86 4.74 -3.63 -5.68 1.09 -0.59 -1.63 28.58 45.81 7.25 1.09 -28.23 }
{32 6759 94 83 91 88 81 88 80 83 85 88 84 86 103 79 103 95 99 101 75 88 97 91 84 89 6.98 -1.26 7.91 1.16 -0.31 -1.79 28.67 46.36 8.17 1.13 -27.17 }
{36 6915 92 85 93 92 85 92 76 87 88 90 81 90 80 104 90 79 84 76 92 80 90 89 96 93 1.65 -2.42 -7.60 1.04 -0.46 -1.23 28.53 47.32 8.41 1.00 -27.04 }
{40 7067 88 89 90 88 84 88 80 83 90 89 85 93 80 104 90 79 84 76 92 80 90 89 96 93 -4.53 0.14 -3.22 0.91 -0.27 -1.08 28.62 45.83 7.96 0.43 -27.15 }
{44 7223 90 87 93 87 87 90 84 83 93 92 89 90 98 80 97 87 101 91 102 83 99 96 102 86 3.07 0.89 1.94 1.01 0.08 -1.86 28.58 45.76 8.04 0.37 -26.44 }
{48 7374 94 83 97 87 91 91 88 83 97 96 93 86 98 80 97 87 101 91 102 83 99 96 102 86 1.71 -1.23 -9.02 0.86 -0.01 -1.82 28.62 47.10 8.79 20.76 -27.85 }
{52 7533 92 83 94 90 95 94 92 86 95 93 91 83 92 83 82 102 99 99 104 86 80 90 90 83 0.10 -3.34 -5.97 1.17 -0.17 -1.92 28.67 46.43 9.56 19.22 -28.63 }
{56 7691 95 84 92 90 93 96 94 89 94 93 89 86 97 100 97 97 82 96 90 97 96 86 95 96 5.81 -0.45 4.40 0.95 -0.16 -1.67 28.62 46.99 9.82 30.70 -28.09 }
{60 7842 99 88 95 94 94 93 91 87 98 90 87 90 102 91 95 95 94 80 91 77 103 90 84 99 1.13 -2.12 -3.66 0.45 -0.72 -0.92 28.67 46.23 13.02 31.23 -28.10 }
{64 7998 102 91 95 95 94 89 91 83 102 90 84 94 102 91 95 95 94 80 91 77 103 90 84 99 -1.78 0.81 5.68 0.83 -0.34 -1.58 28.62 46.59 12.27 28.52 -28.02 }
{68 8159 99 94 98 92 91 91 94 85 100 87 81 92 94 95 100 81 78 101 98 95 93 79 75 89 -0.76 1.04 -4.29 0.91 0.13 -1.12 28.67 47.57 11.74 25.98 -28.03 }
{72 8315 95 98 99 88 93 89 92 89 96 88 83 94 79 101 99 88 93 79 85 95 84 88 102 100 2.03 -0.61 2.52 0.78 -0.68 -0.92 28.62 47.37 10.60 23.12 -28.91 }
{76 8470 91 101 99 88 93 85 88 93 92 88 87 98 79 101 99 88 93 79 85 95 84 88 102 100 -3.95 0.19 -7.28 1.40 -0.61 -0.90 28.58 47.01 10.33 27.75 -28.49 }
{80 8631 87 99 97 90 91 85 88 93 89 86 91 98 77 84 92 90 91 100 88 85 89 83 100 90 5.38 0.33 -1.86 1.25 0.64 -1.57 28.67 47.01 9.97 25.33 -28.80 }
