N T EM1 EM2 EM3 EM4 EM5 EM6 EM7 EM8 EM9 EM10 EM11 EM12 CM1 CM2 CM3 CM4 CM5 CM6 CM7 CM8 CM9 CM10 CM11 CM12 GyX GyY GyZ AcX AcY AcZ Tmp HCSR X Y Z
{84 8783 83 95 93 90 91 89 88 89 89 83 95 94 77 84 92 90 91 100 88 85 89 83 100 90 1.62 2.10 -6.12 1.02 0.06 -1.47 28.67 46.23 9.61 23.47 -28.54 }
{88 8937 79 91 92 90 91 93 88 85 89 83 99 90 77 84 92 90 91 100 88 85 89 83 100 90 5.55 -1.06 -3.39 1.45 -0.56 -1.51 28.62 46.43 9.08 21.45 -28.50 }
{92 9096 81 93 89 87 88 97 91 83 92 86 97 87 89 97 86 84 87 99 100 83 101 87 90 76 12.10 3.15 -2.56 0.33 0.09 -1.24 28.58 47.03 8.86 19.42 -28.84 }
{96 9248 85 97 86 84 87 99 95 83 96 87 93 83 89 97 86 84 87 99 100 83 101 87 90 76 3.76 8.19 -1.37 1.41 0.02 -1.15 28.67 45.85 8.74 17.93 -27.96 }
{100 9404 89 94 83 82 84 96 93 86 94 84 89 85 104 82 78 82 80 95 77 96 93 82 76 90 -0.30 -0.91 -5.94 1.84 -0.32 -0.87 28.67 45.99 8.26 16.78 -27.50 }
{104 9560 93 90 79 82 80 95 89 90 93 82 85 89 104 82 78 82 80 95 77 96 93 82 76 90 5.03 -0.82 -2.82 2.00 -0.06 -0.60 28.62 45.81 8.20 15.06 -28.03 }
{108 9717 91 86 81 85 83 92 91 88 90 85 87 89 83 80 81 102 94 79 96 81 76 97 95 89 1.73 -2.67 -0.85 0.94 -0.12 -1.10 28.62 46.16 8.46 13.45 -28.46 }
{112 9872 87 82 81 89 87 88 95 84 86 89 91 89 83 80 81 102 94 79 96 81 76 97 95 89 2.02 3.94 9.25 0.33 -0.64 -0.96 28.67 45.90 8.46 19.46 -28.08 }
{116 10025 83 80 81 93 91 84 96 81 82 93 95 89 83 80 81 102 94 79 96 81 76 97 95 89 1.30 -2.64 2.70 0.39 -0.65 -0.58 28.72 46.68 7.61 17.43 -27.55 }
{120 10183 80 83 82 91 89 86 95 84 84 91 92 92 80 84 82 90 88 104 95 100 90 81 78 97 -2.45 -3.54 -7.95 0.48 -0.68 -0.98 28.62 46.55 7.19 15.81 -27.20 }
{124 10342 82 84 84 92 86 90 93 88 84 87 88 96 103 84 96 99 83 93 92 96 84 78 86 96 5.56 2.10 4.90 1.18 -0.24 -0.76 28.53 47.48 6.94 14.31 -27.60 }
{128 10499 86 87 88 93 88 92 89 90 83 85 90 93 101 89 102 93 99 95 75 91 77 79 102 89 3.93 -0.74 -9.69 1.02 -0.39 -0.83 28.58 46.81 7.85 13.09 -27.30 }
{132 10654 90 89 92 93 92 95 85 91 79 81 94 89 101 89 102 93 99 95 75 91 77 79 102 89 -0.99 -4.02 -11.77 1.28 -1.56 -1.40 28.62 47.03 7.94 11.68 -27.29 }
{136 10815 94 89 96 93 96 95 81 91 77 79 98 89 101 89 102 93 99 95 75 91 77 79 102 89 3.73 -6.31 -3.95 0.65 -1.08 -0.23 28.67 47.93 7.70 9.42 -27.84 }
{140 10975 98 90 94 96 94 94 78 88 80 82 98 86 103 90 83 104 84 94 78 88 92 102 98 77 5.82 -1.32 -7.05 1.04 -0.94 -0.46 28.67 46.97 7.92 8.52 -27.37 }
{144 11133 98 92 90 96 94 92 80 90 84 86 96 86 81 98 79 85 101 75 99 95 90 91 83 90 5.24 2.19 2.18 0.87 -0.76 -0.98 28.62 46.70 7.83 7.30 -27.55 }
{148 11287 94 96 86 92 92 88 83 94 84 90 98 86 92 101 83 81 92 76 83 99 84 102 98 86 -3.45 1.87 -2.01 1.06 0.16 -1.69 28.62 46.50 7.86 13.53 -27.16 }
{152 11443 92 100 83 88 92 84 83 98 84 94 98 86 92 101 83 81 92 76 83 99 84 102 98 86 -7.00 9.67 -15.47 1.58 -0.27 -1.25 28.62 46.94 7.06 12.60 -29.01 }
{156 11604 94 99 85 88 90 84 81 101 82 94 96 84 97 88 92 96 83 84 78 102 79 93 75 79 1.87 -5.38 -0.21 0.63 0.92 -1.34 28.58 46.75 6.35 12.25 -28.24 }
{160 11760 97 95 89 92 86 84 78 102 79 93 92 80 97 88 92 96 83 84 78 102 79 93 75 79 -1.28 -4.77 -5.11 1.69 -0.53 -0.52 35.77 47.57 6.62 11.47 -27.77 }
{164 11919 97 91 92 96 83 84 78 102 79 93 88 79 97 88 92 96 83 84 78 102 79 93 75 79 6.68 3.62 1.47 1.14 -0.04 -0.31 28.67 48.04 6.66 10.38 -27.13 }
{168 12078 100 93 95 93 86 81 81 99 76 91 90 82 100 102 95 85 90 81 82 83 75 91 100 102 1.78 -1.38 5.30 1.62 -0.62 -1.32 28.67 49.70 6.35 9.16 -27.20 }
{172 12236 97 97 95 95 90 84 85 95 78 94 88 82 89 98 95 99 103 102 90 84 100 98 87 82 1.82 2.48 22.38 0.84 -0.06 -1.02 28.62 49.38 5.72 7.91 -27.40 }
