N T EM1 EM2 EM3 EM4 EM5 EM6 EM7 EM8 EM9 EM10 EM11 EM12 CM1 CM2 CM3 CM4 CM5 CM6 CM7 CM8 CM9 CM10 CM11 CM12 GyX GyY GyZ AcX AcY AcZ Tmp HCSR X Y Z
{20 5714 82 90 82 90 89 77 108 64 77 117 104 90 82 90 82 90 89 77 108 64 77 117 104 90 -8.45 37.75 18.47 -1.61 0.65 -1.43 28.11 56.35 -114.12 70.81 -23.82 }
{22 5752 82 90 82 90 115 77 108 64 102 117 104 90 82 90 82 90 115 110 108 64 102 117 104 90 -38.94 -30.15 24.90 -1.17 -0.69 -5.88 28.11 57.31 -124.72 81.27 -23.04 }
{24 5790 82 90 82 90 115 110 108 64 102 117 104 90 82 92 82 90 115 110 108 64 102 66 104 113 -10.68 58.16 -14.69 0.23 2.49 -2.94 28.01 57.04 -127.57 78.87 -23.31 }
{26 5830 82 92 82 90 115 110 108 64 102 66 104 113 82 92 82 90 115 110 108 64 102 66 104 113 123.76 -26.06 -24.84 2.05 7.27 1.81 28.06 55.48 -127.90 77.08 -24.26 }
{28 5869 82 92 82 90 115 110 108 64 102 66 104 113 82 92 82 90 115 110 108 64 102 66 104 113 256.95 81.61 -38.34 0.81 0.08 1.50 28.15 56.69 -128.44 83.83 -24.58 }
{30 5908 82 92 82 90 115 110 108 64 102 66 104 113 97 92 82 90 115 110 108 64 102 66 104 113 150.66 5.32 -65.45 0.98 0.22 -5.17 28.06 85.22 -128.75 89.19 -26.00 }
{32 5949 97 92 82 90 115 110 75 64 102 66 104 113 97 116 69 90 115 110 77 64 102 71 104 113 -42.03 -26.04 -3.07 -0.43 -3.28 -3.56 28.06 84.93 -137.24 92.64 -25.87 }
{34 5992 97 60 69 90 115 110 77 64 102 71 116 113 97 60 69 90 115 110 77 64 102 71 116 113 6.54 -10.15 -20.21 2.79 -3.16 1.73 28.11 85.63 -144.85 95.73 -26.24 }
{36 6032 97 60 69 90 115 110 77 64 102 71 116 113 97 110 69 90 115 110 77 101 102 71 116 113 4.68 36.95 -23.97 1.40 -0.77 -2.42 28.06 57.80 -152.87 93.18 -27.23 }
{38 6073 97 110 69 90 113 110 96 101 102 71 116 84 97 110 69 90 113 110 96 101 102 71 116 84 -17.58 24.86 24.14 1.97 -2.65 -3.38 28.06 85.07 -161.18 90.18 -26.29 }
{40 6114 97 110 69 90 113 110 96 101 102 71 116 84 97 110 69 90 113 110 96 101 102 71 116 84 -8.18 26.57 14.96 0.21 -1.58 -0.99 28.01 85.78 -169.54 94.20 -26.02 }
{42 6155 97 110 69 90 113 110 96 101 102 71 116 84 78 94 69 90 113 110 96 101 102 98 106 84 22.63 21.94 -10.46 2.72 -1.10 -0.19 28.15 87.12 -175.50 91.60 -26.10 }
{44 6198 78 94 69 90 113 110 96 101 102 98 106 97 78 94 69 90 113 110 96 101 102 98 106 97 -8.73 11.32 -23.11 0.84 -1.30 -0.18 28.11 86.87 177.57 88.15 -27.42 }
{46 6238 78 94 69 90 113 110 96 101 102 98 106 97 78 94 69 90 113 93 108 101 102 98 110 97 4.55 9.07 7.12 1.05 -0.66 -1.46 28.11 85.80 171.15 84.72 -27.37 }
{48 6279 78 94 69 90 113 93 108 101 102 98 110 97 78 117 69 90 113 93 80 101 102 98 116 97 -23.66 8.04 -21.76 0.54 -0.46 -0.48 28.11 86.48 163.71 88.86 -28.20 }
{50 6321 78 117 69 90 113 93 80 101 102 98 116 97 78 117 69 90 113 93 80 101 102 98 116 97 -16.56 -49.73 -16.67 3.27 -3.82 -1.65 28.06 86.03 157.16 91.60 -28.17 }
{52 6362 78 117 69 90 113 93 80 101 102 98 116 97 78 117 69 90 113 93 80 101 102 98 116 97 -68.26 -14.77 -34.15 2.17 0.88 -0.08 28.06 58.61 148.96 87.20 -29.85 }
{54 6400 78 117 69 90 113 93 80 101 102 98 116 97 78 117 69 90 113 93 80 111 65 98 116 97 -26.99 13.27 57.88 0.58 -0.63 -1.48 28.11 55.73 149.28 91.35 -28.09 }
{56 6438 78 117 69 90 113 93 80 111 65 98 116 97 78 117 69 90 113 93 80 111 65 98 116 97 2.78 1.58 -3.45 3.14 -0.86 1.94 28.01 57.27 143.49 88.20 -27.70 }
{58 6478 78 117 69 90 113 93 80 90 65 98 116 97 78 117 69 90 113 93 80 90 65 98 116 97 -1.45 2.98 -35.27 2.84 0.37 -0.35 28.11 87.79 138.84 85.74 -29.07 }
{60 6517 78 117 69 90 113 93 80 90 65 98 116 97 78 117 69 90 113 93 80 92 81 98 119 97 -44.96 16.30 -3.66 2.18 -0.50 -1.88 28.11 88.42 132.05 83.46 -29.21 }
{62 6558 78 117 69 90 113 93 80 92 81 98 119 97 78 117 109 90 113 93 80 80 81 98 119 97 17.85 0.77 2.15 2.66 -0.27 0.23 28.06 92.33 127.28 80.31 -29.07 }
{64 6600 78 117 109 90 113 93 80 80 81 98 119 97 78 117 109 90 111 93 80 80 81 98 119 97 25.24 -28.38 -14.75 2.15 -1.06 2.54 28.06 91.92 122.91 76.32 -29.37 }
{66 6643 78 117 109 90 111 93 80 80 81 98 119 97 78 117 109 90 111 93 80 80 81 98 119 97 45.30 -27.52 16.00 1.23 0.15 -1.50 28.15 90.79 119.97 72.30 -28.69 }
{68 6685 78 117 115 90 97 93 84 76 81 98 119 97 78 117 115 90 97 93 84 76 81 98 119 97 -10.26 -12.30 29.13 1.89 0.17 -0.57 28.06 91.14 115.35 68.71 -27.45 }
{70 6726 78 117 115 90 97 93 84 76 81 98 119 97 78 117 115 90 97 93 84 76 81 98 119 97 -21.84 -7.37 23.21 0.49 -1.17 -2.09 28.11 144.19 116.76 72.49 -26.29 }
{72 6773 78 117 115 90 97 93 84 76 81 98 119 97 78 117 115 90 97 93 84 76 81 98 119 97 -10.77 -27.77 1.56 1.52 -1.35 1.22 28.11 140.73 112.64 68.38 -26.17 }
{74 6821 78 117 115 90 97 93 84 76 81 98 119 97 78 117 115 90 97 93 84 76 81 98 119 97 -5.43 -22.36 4.12 1.95 -0.40 -0.72 28.11 167.29 108.32 65.04 -26.06 }
{76 6870 78 117 115 90 97 93 84 76 81 98 119 97 78 117 115 90 97 93 84 76 81 98 119 97 4.87 -10.31 -7.39 1.15 -0.03 -1.30 28.06 150.74 104.42 61.79 -26.34 }
{78 6917 78 117 115 90 97 93 84 76 81 98 119 97 78 117 115 65 97 93 84 69 81 98 119 97 2.20 -8.18 3.16 0.82 -0.30 -1.30 28.15 138.34 100.53 58.73 -26.26 }
{80 6964 78 117 115 65 97 93 84 69 81 98 119 97 78 117 115 65 97 93 84 69 81 98 119 97 -12.62 -13.78 -17.80 3.07 -0.33 0.59 28.01 139.85 96.90 55.87 -26.65 }
{82 7011 78 117 115 65 97 93 84 69 81 98 119 97 78 117 115 65 97 93 84 69 81 98 119 97 -4.59 -10.33 -48.41 1.90 -0.44 -0.68 28.15 147.34 92.85 53.34 -28.86 }
{84 7057 78 117 115 63 97 93 84 104 81 98 119 110 78 117 115 63 97 93 89 104 81 98 119 110 7.85 -12.54 -51.97 1.38 0.07 -0.75 28.11 92.60 89.76 50.64 -30.93 }
{86 7100 78 117 115 63 83 93 89 104 81 98 119 110 78 117 115 63 83 93 89 104 81 98 119 110 -18.22 -30.44 -1.37 0.13 2.45 0.28 28.06 90.70 93.06 47.96 -31.92 }
{88 7143 78 119 115 63 83 93 89 104 81 98 119 110 78 119 63 63 83 93 89 104 81 98 119 110 2.81 24.23 -25.02 -1.29 -1.00 -2.98 28.20 88.60 89.78 59.28 -32.97 }
{90 7184 78 119 63 63 83 93 89 104 81 98 119 110 78 119 63 63 83 93 89 104 81 98 119 66 -8.50 -24.10 -9.14 -1.03 -1.33 -2.88 28.11 146.29 86.21 69.51 -33.19 }
{92 7227 78 119 63 63 83 93 89 104 81 98 119 66 78 119 63 63 83 93 89 104 81 98 119 66 -36.71 7.32 -9.10 -0.33 -1.62 5.19 28.15 55.41 83.71 77.60 -33.46 }
{94 7264 78 119 63 63 83 93 89 104 81 98 119 66 78 119 112 63 83 93 89 104 81 98 119 66 -7.48 4.13 -61.62 -0.34 -1.89 0.53 28.06 54.83 80.73 88.90 -35.73 }
{96 7301 78 119 112 63 83 93 89 104 81 98 119 66 78 119 112 63 83 93 89 104 81 98 119 66 -27.95 12.85 -36.67 1.39 -1.93 -2.83 28.11 55.53 76.53 92.26 -37.21 }
{98 7340 78 95 112 63 105 93 89 104 81 73 119 66 78 95 112 63 105 93 89 104 81 73 119 66 2.40 -46.21 13.04 0.94 -0.76 -4.07 28.06 55.46 73.15 94.20 -37.28 }
{100 7375 78 95 112 63 105 93 89 104 81 73 119 66 81 95 112 69 105 93 89 104 81 73 119 66 -10.16 -59.80 -5.48 3.99 0.58 -4.87 28.15 55.19 70.14 89.24 -37.26 }
{102 7414 81 95 112 69 105 93 89 104 81 73 119 66 81 95 112 69 105 93 89 104 81 73 119 66 26.84 -0.19 3.13 0.92 0.62 -1.34 28.11 55.97 76.03 85.00 -37.08 }
{104 7450 81 95 112 69 105 93 89 104 81 73 119 66 81 95 94 69 105 93 89 104 81 73 119 66 7.84 3.39 21.25 -0.85 0.78 -0.41 28.01 56.51 80.60 95.65 -36.42 }
{106 7489 81 95 94 69 105 93 89 104 81 73 119 66 81 95 94 69 105 93 89 104 81 73 119 66 4.74 1.26 10.86 0.61 0.78 -1.45 28.06 56.98 77.46 91.75 -35.95 }
{108 7525 81 95 94 69 105 93 89 104 81 73 119 66 81 95 96 69 105 93 89 104 81 73 119 100 -4.55 11.01 7.18 1.45 1.95 0.94 28.06 56.17 81.49 87.56 -35.28 }
{110 7563 81 95 96 69 105 93 89 104 81 73 119 100 81 95 96 69 105 93 70 104 81 73 119 100 7.12 3.52 -0.56 -0.72 0.09 1.20 28.01 55.53 78.51 90.93 -35.29 }
{112 7602 81 95 96 69 105 93 70 104 81 73 119 100 81 95 96 69 105 93 70 104 81 73 119 100 -40.09 3.70 37.21 1.70 -0.95 -1.98 28.15 55.41 74.03 94.37 -33.82 }
{114 7638 81 95 96 69 105 93 70 104 81 73 119 100 97 95 96 69 105 93 70 104 81 86 119 100 18.13 6.62 8.20 1.39 0.58 -1.19 28.11 55.42 71.71 90.69 -33.74 }
{116 7676 97 95 96 69 105 93 70 104 81 114 96 100 97 95 96 69 105 93 70 104 81 114 96 100 1.10 -18.18 -9.50 -1.33 -0.68 -2.01 28.15 55.62 69.03 99.92 -34.10 }
{118 7712 97 95 96 69 105 93 70 104 81 114 96 100 97 95 96 69 105 93 74 104 81 114 96 100 -3.97 -29.93 5.83 -0.42 -1.10 0.14 28.11 55.23 66.63 94.54 -33.95 }
{120 7751 97 95 96 69 101 93 74 104 81 114 96 100 97 95 96 69 101 93 74 104 81 114 87 100 -51.14 -28.70 16.52 0.66 -0.20 0.02 28.15 55.64 62.27 89.40 -33.50 }
{122 7789 97 95 96 69 101 93 74 104 81 114 87 100 97 95 96 69 101 93 74 104 81 114 87 100 -69.22 -33.03 49.80 -0.74 2.19 -0.33 28.15 54.90 57.73 91.93 -31.97 }
{124 7826 97 95 96 69 101 93 74 104 81 114 87 100 97 95 96 69 101 93 74 104 81 114 87 100 -17.14 15.32 37.31 -0.30 -0.35 -1.70 28.06 55.82 54.39 102.19 -30.32 }
{126 7864 97 95 96 69 101 93 74 104 81 114 87 100 97 95 96 69 101 93 74 104 81 99 87 100 1.67 6.77 26.86 -0.05 2.25 -2.22 28.11 56.40 66.52 112.42 -29.14 }
{128 7902 97 95 96 69 101 93 74 104 81 99 87 100 97 95 96 69 101 93 74 104 81 99 87 100 -7.45 8.23 16.02 -0.64 2.27 -1.36 28.06 57.32 77.41 122.01 -28.59 }
{130 7939 97 95 96 69 101 93 74 104 81 99 87 100 97 95 96 69 119 93 74 104 81 99 87 100 10.63 29.81 9.97 -0.57 2.54 -1.01 28.15 58.03 88.27 131.41 -27.76 }
{132 7977 97 95 96 62 119 93 74 104 81 99 87 100 97 95 96 62 119 93 74 104 81 99 87 100 -9.08 -6.47 1.77 -0.90 3.89 -2.76 28.11 57.51 98.55 139.89 -27.55 }
{134 8016 97 95 96 62 119 93 74 104 81 99 87 100 97 95 96 62 119 93 74 104 81 99 87 100 27.76 -3.31 -13.50 0.41 1.90 1.05 28.15 57.98 108.89 148.18 -28.08 }
{136 8053 97 95 96 62 119 93 74 104 81 99 87 100 97 95 96 62 119 93 74 104 81 99 87 100 22.10 4.51 13.89 0.11 1.46 -2.73 28.11 57.90 119.59 149.21 -27.53 }
{138 8091 97 95 96 62 119 93 74 104 81 99 87 100 97 95 96 62 119 93 74 104 81 99 87 100 -2.82 2.07 -12.88 0.81 0.37 -2.32 28.20 57.83 114.85 142.97 -27.63 }
{140 8129 97 95 96 62 119 93 74 104 112 99 87 100 97 95 96 62 67 93 74 104 112 99 87 100 7.79 -3.99 -5.97 -0.16 1.24 -0.21 28.01 57.31 117.64 150.99 -27.84 }
{142 8168 97 95 96 62 67 93 74 104 112 99 87 100 97 95 96 62 67 93 74 104 112 99 87 100 -34.10 64.68 -0.38 1.98 2.28 -3.28 28.11 58.21 126.24 145.95 -27.83 }
{144 8206 97 95 96 62 67 93 74 104 112 99 87 100 97 95 96 62 67 70 74 104 112 99 103 100 -83.80 8.75 -5.74 -0.36 0.74 -2.86 28.11 56.80 118.15 154.34 -27.99 }
{146 8245 97 95 69 62 67 70 74 104 112 99 103 100 97 95 69 62 67 70 74 104 112 99 103 100 -59.23 -15.05 4.41 -0.67 1.79 -1.80 28.06 55.95 118.20 154.33 -28.11 }
{148 8283 97 95 69 62 67 70 74 104 112 99 103 100 97 95 69 62 67 70 74 104 112 99 103 100 -12.71 -16.35 12.72 1.78 1.85 -1.06 28.11 56.22 126.33 154.23 -27.84 }
{150 8321 97 95 69 62 67 70 74 104 112 104 103 100 97 95 83 99 67 70 74 104 112 104 103 100 -17.61 33.18 -6.09 0.37 3.28 5.19 28.20 56.94 133.95 149.36 -27.80 }
{152 8359 97 95 83 99 67 70 74 104 112 104 103 111 97 95 83 99 67 70 74 104 112 104 103 111 -35.13 25.29 30.53 -1.39 2.42 -2.86 28.11 56.56 140.83 151.48 -26.82 }
{154 8396 97 95 83 99 67 70 74 104 112 104 103 111 97 95 83 99 67 70 74 104 112 104 103 111 -25.97 8.88 49.15 1.45 4.63 -6.04 28.11 57.87 148.45 152.56 -24.50 }
{156 8434 97 95 83 99 67 70 74 104 112 104 103 111 97 95 83 99 67 70 69 104 112 119 103 111 5.58 -20.54 56.53 1.07 5.06 -2.97 28.06 59.19 155.85 152.58 -22.17 }
{158 8472 97 95 83 99 67 70 69 104 112 119 103 111 97 95 83 99 67 70 69 104 112 119 103 111 8.94 -30.24 1.04 1.16 5.05 -0.11 28.15 59.17 163.09 145.56 -21.95 }
{160 8511 97 95 83 99 67 70 69 104 112 68 103 111 97 95 83 99 67 70 69 104 112 68 103 111 -31.31 -18.06 -39.76 0.55 2.06 -0.27 28.11 58.75 168.82 138.92 -23.61 }
{162 8550 97 95 83 99 67 70 69 104 112 82 103 111 97 95 83 99 67 70 69 104 112 82 103 111 57.15 42.25 8.57 -1.48 1.48 -3.91 28.15 59.15 177.68 141.54 -23.32 }
{164 8588 97 95 83 99 67 70 69 104 112 82 103 111 97 95 83 99 67 70 69 104 112 82 103 111 44.22 24.85 5.82 0.17 4.62 -1.58 28.25 58.77 -174.10 136.65 -23.15 }
{166 8624 97 95 83 99 67 70 69 104 112 82 103 111 97 95 83 99 67 70 69 104 112 82 103 111 41.18 9.20 -5.22 0.07 4.79 -2.26 28.11 58.25 -166.31 131.37 -23.26 }
{168 8662 97 95 83 99 67 70 69 104 112 82 103 111 97 95 83 99 67 70 69 104 112 114 103 111 41.90 -8.68 -3.66 -0.37 3.75 -2.22 28.11 58.54 -159.07 132.86 -23.42 }
{170 8699 97 95 83 99 67 70 69 104 112 114 103 111 97 100 83 99 70 70 85 104 112 114 106 75 9.91 -17.95 3.70 0.16 3.53 0.09 28.11 58.30 -152.80 133.82 -23.34 }
{172 8738 97 100 83 99 70 70 85 104 112 114 106 75 97 100 83 99 70 70 85 104 112 114 106 75 -71.89 -44.61 -20.61 -1.02 1.95 1.54 28.20 58.47 -149.26 133.58 -23.97 }
{174 8776 108 100 83 99 69 70 85 104 112 114 79 75 108 100 83 99 69 70 85 104 112 114 79 75 -118.93 -22.25 -19.43 0.34 0.26 -0.98 28.11 59.21 -161.55 134.36 -24.61 }
{176 8815 108 100 83 103 69 70 110 104 112 114 79 75 108 100 83 103 69 70 110 104 112 114 79 75 -163.05 18.62 51.05 2.35 2.21 0.51 28.01 59.37 -162.22 129.31 -22.90 }
{178 8854 108 104 83 111 69 74 110 104 112 114 79 75 108 104 83 111 69 74 110 104 112 114 79 75 35.00 -1.44 42.20 -2.20 9.41 -7.99 28.11 61.52 -155.56 137.44 -20.76 }
{180 8892 108 104 83 111 69 74 110 104 112 114 79 75 108 104 83 111 69 74 110 104 112 114 79 75 -61.42 -25.83 4.81 3.82 4.63 -5.22 28.11 61.89 -151.94 131.63 -20.32 }
{182 8931 108 104 83 111 69 74 110 104 112 114 79 75 108 104 83 111 69 74 110 104 112 114 79 75 -22.29 -5.09 -10.98 -0.18 4.51 0.14 28.11 64.76 -148.02 133.08 -20.73 }
{184 8970 108 104 83 111 69 94 77 81 112 114 79 75 108 104 83 111 69 94 77 81 112 114 79 75 -0.71 2.42 1.92 0.22 4.91 0.14 28.11 61.29 -143.28 134.65 -20.71 }
{186 9010 108 104 83 100 69 94 77 81 112 114 79 85 108 104 83 100 69 94 77 81 112 114 79 85 16.98 12.34 7.27 0.03 3.36 2.11 28.06 61.00 -137.62 136.15 -20.41 }
{188 9053 108 104 89 100 69 94 77 81 112 114 79 85 108 104 89 100 69 94 77 81 112 114 79 85 94.11 -24.31 -2.40 -0.42 8.92 2.65 28.20 61.78 -130.87 129.50 -21.25 }
{190 9090 108 104 89 100 69 94 77 81 112 114 79 85 108 104 89 100 69 94 77 81 93 114 79 85 98.29 -9.48 63.44 -3.56 9.97 1.71 28.20 61.83 -124.83 128.78 -19.79 }
{192 9135 108 104 89 92 69 94 82 81 93 114 79 85 108 104 89 92 69 94 82 81 93 114 79 85 99.67 -69.77 32.57 1.94 4.72 -1.54 28.11 151.85 -125.14 122.24 -18.10 }
{193 9163 108 104 89 92 69 94 82 81 93 114 79 85 108 104 89 92 69 94 82 81 93 114 79 85 105.00 -16.16 -4.88 0.52 4.30 -3.36 28.15 171.02 -120.10 119.00 -18.31 }
{195 9213 108 104 89 92 69 94 82 81 93 114 79 85 108 75 89 92 69 71 82 81 93 82 79 85 -10.32 -7.08 -12.03 -1.38 2.06 -0.28 28.06 167.58 -116.68 128.41 -18.33 }
{197 9264 108 75 89 92 69 71 82 81 93 82 79 85 108 75 89 92 69 63 82 81 93 82 79 85 5.44 9.04 11.47 0.20 4.67 -1.19 28.15 165.01 -112.64 130.41 -18.13 }
{199 9314 108 75 89 92 69 63 82 81 93 82 79 85 108 75 89 92 69 63 82 81 93 82 79 85 -49.71 5.82 28.34 -1.38 2.73 -1.78 28.11 167.59 -111.69 138.91 -17.11 }
{201 9365 108 75 73 92 69 63 117 81 93 82 79 85 108 75 73 92 69 63 117 81 93 82 79 85 14.00 -14.07 -6.21 1.00 4.82 -0.28 28.11 166.67 -107.91 132.51 -17.03 }
{203 9415 115 75 73 92 69 63 117 81 93 82 79 85 115 75 73 92 69 63 117 81 93 82 79 85 -57.71 92.27 57.89 0.68 2.51 -1.97 28.20 172.99 -106.44 130.08 -14.24 }
{205 9466 115 75 73 92 69 63 117 86 93 82 79 85 115 75 73 92 69 63 117 86 93 82 79 85 -1.28 9.62 0.58 1.13 4.91 -2.03 28.11 176.43 -103.24 132.58 -13.52 }
{206 9495 115 75 73 92 69 63 117 86 93 82 79 85 115 75 73 92 69 63 117 86 93 82 79 85 -6.39 4.23 12.35 0.98 3.40 0.72 28.20 169.28 -101.72 130.04 -13.24 }
{208 9546 115 75 73 92 69 63 117 86 93 82 79 85 115 75 73 92 75 63 117 86 93 82 79 85 -2.94 -1.22 0.14 0.72 4.68 -0.42 28.11 178.42 -98.60 124.76 -13.26 }
{210 9598 115 75 73 92 75 63 117 86 93 82 79 85 115 75 73 92 75 63 117 77 67 82 79 85 0.71 -0.96 -0.53 0.91 4.23 -0.51 28.20 178.40 -95.44 119.70 -13.18 }
{212 9650 115 75 73 92 75 63 117 77 67 82 79 85 115 75 73 92 77 63 117 77 67 82 79 85 -29.87 -16.41 1.70 0.40 5.37 1.22 28.11 114.85 -93.91 114.47 -13.07 }
{213 9677 115 75 73 92 77 63 117 77 67 82 79 85 115 75 73 92 77 63 117 77 67 82 79 85 103.38 -14.61 -21.86 0.32 3.13 -0.69 28.20 174.40 -89.64 111.75 -13.77 }
{214 9708 115 75 73 92 77 63 117 77 67 82 79 85 115 75 73 92 77 67 117 77 67 82 79 85 -26.29 -15.20 -23.21 0.49 5.13 -4.18 28.15 172.32 -88.97 108.90 -14.26 }
{216 9757 115 75 73 92 77 67 117 77 102 82 79 85 115 75 73 92 77 67 117 77 102 82 79 85 -12.99 1.99 0.29 -0.11 4.27 -0.99 28.25 171.34 -86.56 111.92 -14.33 }
{218 9807 115 75 73 92 77 67 117 77 102 82 79 85 115 75 73 92 77 67 117 77 102 82 79 85 9.97 8.22 2.53 4.13 3.05 -2.87 28.06 174.49 -82.52 109.07 -14.35 }
{220 9858 115 75 89 105 77 67 117 77 102 82 79 85 115 75 89 105 77 67 103 77 102 82 79 85 -9.97 -14.47 -5.19 0.31 3.78 3.03 28.15 176.37 -81.68 111.41 -14.48 }
{222 9911 76 75 89 105 77 67 103 77 102 82 79 86 76 75 89 105 77 67 103 77 102 82 79 86 -18.58 -25.80 -13.28 2.20 3.11 -1.89 28.06 172.64 -78.61 112.23 -14.89 }
{223 9939 76 75 89 105 77 67 103 77 102 82 79 86 107 75 89 105 77 67 103 116 102 82 79 86 27.30 -19.02 -12.53 -0.43 8.65 0.15 28.15 164.81 -77.31 115.78 -14.86 }
{224 9970 107 75 89 105 77 67 103 116 102 82 79 86 112 75 89 105 113 67 103 116 102 82 79 86 34.25 -17.96 1.77 1.16 5.67 -3.95 28.20 170.13 -75.33 119.91 -14.93 }
{226 10022 112 75 89 105 113 67 103 116 102 82 79 77 112 75 89 105 113 67 103 116 102 82 79 77 4.81 -2.73 3.36 0.78 2.90 0.42 28.15 171.20 -72.96 114.73 -15.13 }
{228 10071 112 75 89 105 113 67 103 116 102 82 79 77 112 75 89 105 113 67 103 116 102 82 79 77 25.67 3.59 -53.31 1.06 3.60 1.05 28.11 170.98 -70.09 117.16 -16.63 }
{229 10100 112 75 89 105 113 67 103 116 102 82 79 77 112 75 89 105 113 74 103 116 102 82 79 77 10.69 13.36 -17.40 -0.28 3.97 -0.50 28.06 166.20 -69.15 122.22 -17.05 }
{231 10151 112 75 89 105 113 74 114 116 102 82 79 77 112 75 89 105 113 74 114 116 102 82 79 77 -3.06 12.80 13.10 -0.15 3.57 -0.15 28.15 172.70 -68.52 131.81 -16.15 }
{233 10201 112 75 89 105 113 74 114 116 102 82 79 77 112 75 89 105 113 74 114 116 102 82 79 77 -31.22 -8.04 10.34 1.64 4.28 -2.25 28.11 153.58 -67.23 133.48 -14.94 }
{234 10229 112 75 89 105 113 74 114 116 102 82 79 77 96 75 89 105 113 74 114 116 102 82 79 77 -17.75 -2.70 8.32 2.00 5.22 -0.53 28.06 165.37 -67.03 130.80 -14.75 }
{236 10279 96 75 89 105 113 74 114 116 102 82 79 77 96 75 89 105 113 74 114 116 102 82 68 77 -15.06 -5.46 -17.69 0.68 5.91 -0.65 28.20 172.43 -66.02 125.22 -15.45 }
{237 10310 96 75 89 105 113 74 114 116 102 82 68 77 96 75 89 105 113 74 114 117 102 82 68 77 -1.63 0.39 -17.54 0.68 4.33 0.28 28.15 167.21 -65.13 122.67 -15.95 }
{239 10361 96 75 89 105 113 74 114 117 102 82 68 77 96 75 89 105 113 74 114 117 102 82 68 77 3.91 3.75 -12.66 0.40 4.68 -1.02 28.15 172.99 -63.15 117.67 -16.69 }
{241 10413 96 75 89 105 113 74 114 117 102 82 68 77 96 75 89 105 113 74 114 60 102 110 68 77 -6.33 -3.75 -7.14 0.72 4.93 -0.45 28.06 171.27 -61.65 112.66 -17.04 }
{243 10464 96 75 89 105 113 74 114 60 102 110 68 77 96 75 89 105 113 74 114 60 102 110 68 77 -42.21 -31.46 -14.75 0.27 3.21 -3.45 28.06 170.51 -61.05 119.73 -17.77 }
{244 10494 96 75 89 105 113 74 114 60 102 110 68 77 96 75 89 118 113 74 114 60 102 110 68 77 -39.52 -32.07 11.53 -0.27 5.35 -2.05 28.11 167.34 -61.51 123.35 -17.22 }
{245 10525 96 75 89 118 113 74 114 60 102 110 68 77 96 75 89 118 113 60 70 81 102 110 68 77 -20.70 -20.83 24.11 -1.71 4.07 -0.35 28.15 174.69 -61.45 126.86 -16.17 }
{246 10556 96 75 89 118 113 60 70 81 102 110 68 77 96 75 89 118 113 60 70 81 102 110 68 77 -3.22 -38.15 12.40 1.42 5.38 -0.81 28.01 331.88 -60.75 123.03 -15.80 }
{247 10596 96 75 89 118 113 60 70 81 102 110 68 77 96 75 89 118 113 60 70 81 63 110 68 77 106.00 -63.55 -45.16 3.10 5.49 1.37 28.20 331.15 -55.50 118.89 -17.50 }
