N T EM1 EM2 EM3 EM4 EM5 EM6 EM7 EM8 EM9 EM10 EM11 EM12 CM1 CM2 CM3 CM4 CM5 CM6 CM7 CM8 CM9 CM10 CM11 CM12 GyX GyY GyZ AcX AcY AcZ Tmp HCSR X Y Z
{0 5341 93 93 93 93 93 93 93 93 93 93 93 93 109 90 90 90 90 90 90 90 60 90 90 90 2.22 -0.51 -0.23 0.43 0.18 -1.24 28.11 55.15 -17.69 -1.94 -26.58 }
{2 5378 109 90 90 90 90 90 90 90 60 90 90 90 109 90 90 90 90 90 90 90 60 90 90 90 2.84 -7.63 8.61 -0.36 0.14 -2.31 28.11 55.59 -30.92 4.89 -26.22 }
{4 5415 67 90 90 90 109 77 90 90 60 90 90 90 67 90 90 90 109 77 90 90 60 90 90 90 83.16 -94.59 9.34 1.09 -1.04 0.90 28.15 57.11 -41.92 1.55 -25.63 }
{6 5453 67 90 90 90 109 77 90 90 60 90 90 90 67 90 90 90 109 77 90 90 60 90 90 90 -22.62 -2.47 -6.59 -0.14 0.26 -1.89 28.15 95.46 -56.00 14.56 -25.72 }
{8 5492 67 90 90 90 109 77 90 90 60 90 90 90 67 90 90 90 109 77 90 90 60 90 90 90 -29.43 5.21 -33.89 -2.15 -0.47 -2.69 28.20 54.94 -68.76 27.85 -26.97 }
{10 5530 67 90 90 90 109 77 113 64 60 90 90 90 67 90 90 90 109 77 113 64 60 90 90 90 -18.33 10.43 -25.54 -0.24 -1.35 -0.35 28.06 53.69 -80.70 40.78 -27.51 }
{12 5567 82 90 90 90 73 77 108 64 60 90 90 90 82 90 90 90 73 77 108 64 60 90 90 90 5.90 9.87 32.70 -1.97 1.86 -2.52 28.15 53.56 -84.71 53.34 -26.39 }
{14 5604 82 90 90 90 73 77 108 64 77 90 104 90 82 90 90 90 73 77 108 64 77 90 104 90 1.48 -4.59 2.43 0.45 -0.12 -1.75 28.06 55.13 -95.72 58.06 -25.32 }
{16 5640 82 90 90 90 73 77 108 64 77 90 104 90 82 90 82 90 73 77 108 64 77 117 104 90 -39.89 8.17 -12.53 -0.04 0.30 -4.78 28.06 55.21 -107.52 62.25 -25.79 }
{18 5678 82 90 82 90 73 77 108 64 77 117 104 90 82 90 82 90 73 77 108 64 77 117 104 90 -23.71 -27.96 31.53 1.82 2.03 1.19 28.11 55.48 -110.93 58.12 -24.90 }
