N T EM1 EM2 EM3 EM4 EM5 EM6 EM7 EM8 EM9 EM10 EM11 EM12 CM1 CM2 CM3 CM4 CM5 CM6 CM7 CM8 CM9 CM10 CM11 CM12 GyX GyY GyZ AcX AcY AcZ Tmp HCSR X Y Z
{0 5537 93 93 93 93 93 93 93 93 93 93 93 93 87 89 93 98 90 92 84 98 83 89 80 85 1.68 -0.36 -0.32 1.21 0.38 -1.26 29.09 64.60 -0.48 -3.10 -26.61 }
{4 5685 89 89 90 91 89 89 92 91 89 89 95 89 82 87 83 87 89 80 92 83 89 89 97 80 -0.15 -0.25 -1.02 0.99 0.43 -1.16 29.19 64.85 -0.37 -3.12 -26.54 }
{8 5836 85 87 86 87 89 85 92 87 89 89 97 85 82 87 83 87 89 80 92 83 89 89 97 80 -0.97 0.10 -14.35 1.17 0.56 -1.45 29.14 64.08 -0.31 -3.42 -27.36 }
{12 5992 87 90 88 90 92 86 92 87 90 92 99 87 99 98 96 95 97 86 92 87 90 93 99 89 0.16 1.38 0.92 0.98 0.54 -1.90 29.24 63.86 -0.15 -3.16 -27.15 }
{16 6142 91 94 92 94 96 86 92 87 90 93 99 89 99 98 96 95 97 86 92 87 90 93 99 89 -11.10 -2.47 2.26 0.60 0.60 -1.56 29.28 63.93 7.20 -3.14 -26.30 }
{20 6296 95 98 96 95 97 86 92 87 90 93 99 89 99 98 96 95 97 86 92 87 90 93 99 89 -3.57 -1.96 -4.09 1.05 -0.21 -0.95 29.09 64.28 13.80 -3.29 -26.12 }
{24 6453 97 97 95 94 96 85 91 88 91 94 98 88 81 87 92 93 96 85 85 88 91 94 97 81 6.37 0.17 2.38 1.13 0.31 -1.32 29.19 64.89 12.92 -3.34 -26.01 }
{28 6603 93 93 92 93 96 85 87 88 91 94 97 84 81 87 92 93 96 85 85 88 91 94 97 81 2.45 0.10 -7.97 1.35 -0.41 -1.46 29.19 64.64 12.40 -3.53 -27.04 }
{32 6758 89 89 92 93 96 85 85 88 91 94 97 81 81 87 92 93 96 85 85 88 91 94 97 81 4.66 -1.80 -3.66 0.79 0.38 -1.42 29.09 63.90 11.63 -3.65 -27.27 }
{36 6914 88 85 89 90 93 88 88 85 88 91 94 84 88 84 88 90 84 96 90 83 82 86 89 84 2.65 -1.05 -0.69 1.23 0.53 -1.53 29.19 64.84 10.96 -3.64 -27.14 }
{40 7067 91 87 88 88 93 92 86 87 90 87 94 83 85 89 95 94 89 81 97 95 85 84 91 98 1.59 -9.44 -12.99 1.24 -0.10 2.95 29.14 63.68 10.27 -3.46 -27.28 }
{44 7222 87 89 92 92 89 88 90 91 86 84 91 87 85 89 95 94 89 81 97 95 85 84 91 98 1.61 1.29 8.52 1.34 0.92 -0.96 29.14 63.90 9.33 -4.10 -27.39 }
{48 7373 83 86 90 92 86 90 94 95 84 81 94 91 83 85 82 92 86 96 97 98 84 81 97 91 3.45 3.90 9.68 0.77 1.14 -0.70 29.19 63.84 15.73 -3.98 -27.14 }
{52 7523 83 85 86 92 86 94 97 98 84 81 97 91 83 85 82 92 86 96 97 98 84 81 97 91 6.17 1.00 2.89 2.27 0.24 -1.44 29.09 63.70 14.90 -4.32 -26.76 }
{56 7677 86 88 88 95 89 92 94 95 85 84 95 94 97 98 97 97 94 84 89 91 85 95 95 98 4.00 0.71 2.43 2.05 0.22 -1.65 29.09 63.48 14.29 2.49 -26.94 }
{60 7828 90 88 92 95 93 92 90 95 87 88 93 94 82 85 82 92 87 81 95 92 91 81 90 91 6.94 -2.74 9.91 1.75 -0.13 -1.59 29.19 62.86 13.60 1.47 -27.35 }
{64 7981 92 90 90 91 95 94 88 92 91 90 95 94 97 96 90 80 99 95 86 92 98 95 99 94 1.84 -3.75 -8.21 1.06 -0.47 -0.98 29.14 63.80 12.77 1.09 -27.05 }
{68 8133 96 94 90 87 99 95 86 92 95 94 99 94 97 96 90 80 99 95 86 92 98 95 99 94 -2.61 -6.31 -8.09 0.85 -0.08 -1.03 29.19 63.28 18.95 0.69 -26.66 }
{72 8290 94 92 87 86 96 92 89 90 98 94 96 91 89 80 85 86 83 86 93 90 98 94 80 84 0.45 -4.83 1.95 2.07 -0.27 0.17 29.24 63.77 17.60 0.47 -26.19 }
{76 8441 94 88 89 83 98 88 90 90 99 91 92 87 94 86 94 83 98 84 90 90 99 83 87 85 6.05 2.17 -10.30 1.02 0.39 -1.34 29.19 64.57 15.86 7.23 -27.00 }
{80 8593 94 86 93 83 98 84 90 90 99 87 88 85 94 86 94 83 98 84 90 90 99 83 87 85 -3.66 -3.92 -4.00 0.60 0.24 -0.96 29.14 64.47 14.89 6.97 -25.72 }
{84 8749 92 88 92 85 96 85 88 88 97 87 89 87 92 99 87 85 96 85 83 80 84 88 95 95 2.25 0.57 0.76 1.32 0.31 -0.89 29.28 64.24 13.62 6.02 -25.61 }
{88 8897 92 92 88 85 96 85 84 84 93 88 93 91 92 99 87 85 96 85 83 80 84 88 95 95 0.03 -6.38 -5.98 1.19 0.34 -1.18 29.19 64.98 12.46 5.42 -25.80 }
{92 9050 92 96 87 85 96 85 83 80 89 88 95 95 92 99 87 85 96 85 83 80 84 88 95 95 1.81 1.52 5.51 -0.04 0.69 -1.08 29.28 64.22 11.67 32.26 -26.02 }
{96 9205 94 94 90 88 93 84 86 83 91 91 95 92 94 82 91 99 92 84 95 98 96 92 95 91 2.95 0.83 2.47 0.73 0.16 -1.21 29.24 64.78 11.04 29.40 -25.89 }
{100 9355 94 90 91 92 92 84 90 87 95 92 95 91 94 82 91 99 92 84 95 98 96 92 95 91 7.78 3.26 8.35 1.79 -0.27 -0.66 29.19 64.96 11.06 27.18 -24.66 }
{104 9510 91 92 93 90 89 87 88 91 93 95 92 88 89 97 93 87 85 90 82 91 88 97 81 85 -0.99 1.09 -6.76 0.70 0.23 -1.40 29.24 64.02 10.03 24.74 -24.84 }
{108 9664 89 96 93 87 85 90 84 91 89 97 88 85 89 97 93 87 85 90 82 91 88 97 81 85 5.84 -2.25 -15.25 1.08 0.03 -1.02 29.14 62.56 9.56 22.67 -25.63 }
{112 9821 88 95 96 87 88 93 86 94 85 94 84 88 88 95 96 87 99 94 91 96 81 92 80 94 7.55 0.80 -4.56 2.08 0.17 -0.43 29.19 63.53 8.99 20.84 -25.58 }
{116 9971 88 95 96 87 92 94 90 96 81 92 80 92 88 95 96 87 99 94 91 96 81 92 80 94 -6.59 -1.03 11.88 1.09 0.61 -0.53 29.09 63.59 7.86 18.76 -24.77 }
{120 10126 88 95 96 87 96 94 91 96 81 92 80 94 88 95 96 87 99 94 91 96 81 92 80 94 -0.81 0.65 1.89 1.40 0.42 -1.37 29.14 63.82 7.28 17.04 -24.57 }
{124 10283 91 92 93 90 94 91 88 95 84 89 83 91 95 89 87 95 93 89 80 95 95 86 83 82 2.89 0.14 0.93 1.03 0.14 -1.69 29.14 64.42 6.97 15.45 -24.37 }
{128 10435 91 89 91 90 95 88 88 93 88 85 85 91 88 89 91 84 98 88 97 91 89 83 91 91 15.00 2.01 2.32 1.50 0.58 -1.00 29.24 64.75 7.00 27.49 -26.15 }
{132 10591 93 88 92 88 93 89 90 93 92 87 89 88 96 84 97 88 84 90 90 96 92 94 97 84 -1.02 -1.83 -1.34 1.28 0.61 -1.68 29.28 64.29 6.73 25.40 -24.94 }
{136 10743 96 84 96 88 89 90 90 96 92 91 93 84 96 84 97 88 84 90 90 96 92 94 97 84 5.79 1.14 -2.93 0.36 0.07 -0.94 29.14 63.91 6.09 30.03 -25.30 }
