N T EM1 EM2 EM3 EM4 EM5 EM6 EM7 EM8 EM9 EM10 EM11 EM12 CM1 CM2 CM3 CM4 CM5 CM6 CM7 CM8 CM9 CM10 CM11 CM12 GyX GyY GyZ AcX AcY AcZ Tmp HCSR X Y Z
{140 10897 96 84 97 88 85 90 90 96 92 94 97 84 96 84 97 88 84 90 90 96 92 94 97 84 -2.70 -3.73 5.37 2.01 0.67 -2.26 29.09 65.09 5.81 27.93 -25.26 }
{144 11054 93 85 98 91 87 89 93 93 89 91 94 82 88 85 98 99 89 89 93 83 87 87 93 82 1.61 0.92 1.86 0.88 0.37 -1.41 29.14 64.09 5.51 25.51 -25.27 }
{148 11207 93 87 96 91 87 87 91 90 85 91 95 84 96 93 84 90 86 80 84 90 85 96 98 95 2.57 -1.20 -0.59 1.41 0.45 -1.64 29.24 64.15 5.14 23.41 -24.84 }
{152 11362 97 91 98 87 89 89 93 93 88 95 93 88 97 96 98 86 97 91 98 94 99 97 93 91 4.36 -0.94 2.12 1.19 0.30 -1.49 29.33 64.40 5.04 21.16 -24.63 }
{156 11513 97 95 98 86 93 91 97 94 92 97 93 91 97 96 98 86 97 91 98 94 99 97 93 91 -6.12 -2.39 5.79 1.33 0.31 -2.00 29.19 63.33 4.77 19.28 -23.69 }
{160 11670 95 94 97 88 93 89 96 96 92 98 91 93 82 93 97 91 88 89 93 97 84 98 80 94 -1.34 -2.99 -0.76 1.16 0.36 -1.44 29.24 64.58 4.06 17.55 -23.66 }
{164 11825 91 93 97 91 89 89 93 97 88 98 87 94 82 93 97 91 88 89 93 97 84 98 80 94 -1.00 -0.42 -2.41 0.92 0.62 -1.27 29.09 64.09 3.40 15.96 -23.93 }
{168 11980 87 93 97 91 88 89 93 97 84 98 83 94 82 93 97 91 88 89 93 97 84 98 80 94 5.36 -0.90 3.08 0.82 0.39 -0.68 29.14 63.28 3.16 14.34 -24.28 }
{172 12137 89 90 94 90 91 86 90 98 81 95 85 97 95 87 80 90 95 86 87 98 80 86 95 97 -2.44 -0.94 -0.84 1.47 0.42 -1.19 29.19 65.18 2.99 13.09 -24.03 }
{176 12293 93 92 90 93 95 89 86 95 83 91 83 97 94 93 80 94 98 97 85 89 95 83 82 97 0.61 2.17 10.06 1.17 -0.83 -1.91 29.19 62.83 3.20 12.07 -23.23 }
{180 12446 94 93 86 94 98 93 85 91 87 87 82 97 94 93 80 94 98 97 85 89 95 83 82 97 -3.58 -9.51 -3.42 0.71 0.24 -0.87 29.19 64.85 3.33 24.42 -23.17 }
{184 12602 94 93 82 94 98 97 85 89 91 83 82 97 94 93 80 94 98 97 85 89 95 83 82 97 6.87 1.24 3.22 1.35 -0.41 -0.81 29.14 64.91 3.21 22.27 -23.54 }
{188 12758 96 91 82 92 96 95 87 87 91 85 84 99 99 87 87 89 95 83 93 83 88 85 98 99 2.08 2.40 1.28 1.32 0.45 -0.86 29.19 64.40 3.03 20.56 -23.44 }
{192 12909 99 87 86 89 95 91 91 83 88 85 88 99 99 87 87 89 95 83 93 83 88 85 98 99 -3.54 -0.44 6.14 0.54 0.80 -1.33 29.24 64.15 2.77 18.43 -22.62 }
{196 13066 96 84 90 92 92 93 89 86 91 82 86 96 90 84 92 93 83 97 80 90 91 80 83 80 -1.48 -2.15 -2.96 0.80 0.15 -1.79 29.19 62.36 2.75 16.97 -22.63 }
{200 13219 92 84 92 93 88 97 85 90 91 80 83 92 90 84 92 93 83 97 80 90 91 80 83 80 15.16 0.25 -15.66 1.76 0.15 -0.62 29.28 64.18 9.54 21.31 -24.94 }
{204 13378 93 87 89 96 90 94 81 93 92 83 86 88 93 98 83 96 90 94 80 99 92 94 89 82 7.16 -0.13 -7.10 1.66 0.29 -1.50 29.24 64.71 8.95 19.72 -25.07 }
{208 13532 91 90 91 93 90 91 83 91 91 87 90 86 91 90 99 83 90 80 83 90 91 89 98 86 0.69 -0.96 -4.69 1.21 0.27 -1.49 29.14 65.29 8.58 18.07 -24.80 }
{212 13685 91 90 95 89 90 87 83 90 91 89 94 86 91 90 99 83 90 80 83 90 91 89 98 86 -3.54 -1.05 -8.49 1.48 0.56 -1.57 29.19 64.33 8.26 16.89 -23.95 }
{216 13841 91 90 99 85 90 83 83 90 91 89 98 86 91 90 99 83 90 80 83 90 91 89 98 86 -4.03 -1.52 -4.24 0.74 0.95 -1.72 29.24 63.68 7.73 15.21 -24.10 }
{220 13999 90 87 96 84 87 85 86 91 88 86 98 89 90 81 96 84 84 98 96 91 84 80 98 91 1.85 0.07 0.46 0.99 0.65 -1.27 29.14 64.46 7.31 13.57 -23.80 }
{224 14152 87 89 93 85 83 89 90 89 90 82 95 92 88 97 88 90 84 95 97 91 90 86 90 93 6.71 1.94 1.44 1.46 1.23 -0.63 29.14 63.86 7.02 12.36 -23.20 }
{228 14304 88 93 89 89 84 93 94 91 90 86 91 93 88 97 88 90 84 95 97 91 90 86 90 93 9.99 0.45 8.00 1.30 0.52 -1.35 29.24 64.20 7.01 31.37 -24.21 }
{232 14458 85 91 85 87 87 91 92 90 87 89 87 91 85 80 82 83 92 87 81 90 80 99 87 91 7.91 -6.42 -6.76 0.71 0.63 -2.07 29.19 64.37 7.24 49.53 -22.66 }
{236 14611 85 87 82 83 91 87 88 90 83 93 87 91 85 80 82 83 92 87 81 90 80 99 87 91 -2.21 0.13 -2.53 1.78 -0.04 -2.05 29.14 63.93 6.32 45.61 -24.42 }
{240 14769 88 85 81 86 89 84 90 93 85 93 84 91 94 85 81 97 88 82 95 94 85 93 80 91 0.40 2.01 2.20 1.01 0.77 -0.65 29.24 64.06 5.79 41.87 -24.07 }
{244 14919 92 85 81 90 88 82 94 94 85 93 80 91 94 85 81 97 88 82 95 94 85 93 80 91 9.97 4.10 19.18 0.60 0.37 -1.56 29.19 63.46 6.33 38.48 -23.82 }
{248 15076 94 85 84 93 89 85 96 91 82 96 83 88 94 85 89 93 89 86 96 84 80 98 92 80 6.52 -3.02 4.63 0.44 0.39 -1.82 29.19 64.29 6.26 35.25 -23.46 }
{252 15227 94 85 88 93 89 86 96 87 80 98 87 84 94 85 89 93 89 86 96 84 80 98 92 80 -6.45 -4.56 -6.32 0.35 0.56 -0.74 29.14 64.28 12.37 32.23 -23.10 }
{256 15384 94 85 89 93 89 86 96 84 80 98 91 80 94 85 89 93 89 86 96 84 80 98 92 80 6.02 -1.19 0.72 0.92 0.22 -1.54 29.24 64.66 11.39 29.37 -23.29 }
{260 15542 91 87 92 96 92 83 93 87 83 95 89 83 80 87 92 99 98 81 91 96 91 91 88 91 -0.04 0.69 -0.81 0.84 0.22 -1.29 29.05 63.46 10.63 26.81 -23.10 }
{264 15696 87 87 92 99 96 81 91 91 87 91 88 87 80 87 92 99 98 81 91 96 91 91 88 91 -2.00 -4.42 3.37 1.87 0.23 -1.24 29.24 65.58 8.71 31.03 -23.47 }
{268 15851 83 87 92 99 98 81 91 95 91 91 88 91 80 87 92 99 98 81 91 96 91 91 88 91 -3.06 -0.28 -3.37 1.23 1.14 -1.21 29.09 65.18 7.29 28.38 -23.19 }
{272 16009 85 84 89 98 95 84 90 93 88 94 91 88 85 80 80 98 93 87 90 91 83 94 93 87 3.65 -1.93 -11.88 1.32 0.69 -2.12 29.19 66.07 6.77 26.30 -23.28 }
{276 16165 88 86 85 96 91 88 87 89 90 91 89 84 95 91 82 96 86 95 84 81 97 81 83 84 21.38 3.21 -6.35 2.21 -0.02 -1.24 29.14 64.15 7.10 24.16 -23.83 }
{280 16319 92 90 82 96 87 92 84 85 94 87 85 84 95 91 82 96 86 95 84 81 97 81 83 84 7.27 4.54 1.48 2.32 0.36 -1.52 29.19 64.62 7.33 22.16 -23.91 }
{284 16474 96 88 85 93 89 90 87 81 92 89 87 85 96 81 95 90 96 85 93 81 80 91 89 85 -1.77 -1.60 9.15 1.02 0.75 -1.82 29.19 65.31 6.19 20.28 -23.49 }
{288 16627 96 84 89 90 93 86 91 81 88 91 89 85 96 81 95 90 96 85 93 81 80 91 89 85 -5.58 -4.13 -2.35 0.42 0.68 -1.55 29.09 64.91 5.18 18.29 -23.18 }
{292 16783 96 81 93 90 96 85 93 81 84 91 89 85 96 81 95 90 96 85 93 81 80 91 89 85 -0.48 -4.10 -3.05 1.37 0.82 -1.55 29.19 66.05 5.04 17.56 -22.73 }
{296 16941 96 83 93 88 94 87 95 83 84 89 87 83 96 88 85 84 87 89 96 86 96 86 87 80 0.98 -1.29 -0.90 0.85 0.82 -1.45 29.19 65.71 4.65 15.66 -22.86 }
{300 17095 93 87 95 90 90 91 98 87 85 87 89 85 91 90 98 91 84 98 98 94 85 87 89 98 2.52 -0.41 2.96 0.95 0.72 -0.93 29.24 65.38 4.12 27.88 -23.03 }
{304 17248 91 90 98 91 86 95 98 91 85 87 89 89 85 98 88 89 94 87 80 94 80 96 95 83 5.62 -1.84 5.05 1.21 1.13 -0.52 29.14 65.51 10.92 24.99 -22.97 }
{308 17404 87 91 94 87 90 97 95 89 87 91 92 90 85 91 92 84 96 97 95 85 90 95 92 90 -0.53 -0.82 -3.36 1.56 0.30 -1.44 29.14 64.87 10.46 22.82 -23.02 }
{312 17561 89 94 90 89 93 99 92 85 91 89 89 89 97 99 87 95 93 99 89 84 99 81 85 89 21.79 4.62 -11.07 2.44 0.19 -0.73 29.14 64.91 11.12 27.62 -23.74 }
{316 17717 93 98 87 93 93 99 89 84 95 85 85 89 97 99 87 95 93 99 89 84 99 81 85 89 9.15 0.89 -2.11 1.30 -0.18 -2.08 29.14 65.40 11.25 25.84 -22.96 }
{320 17874 93 96 89 91 96 96 92 83 98 87 82 92 93 80 89 90 97 86 98 83 98 96 81 99 0.51 -3.54 0.95 1.71 0.94 -1.01 29.19 64.67 10.33 24.09 -22.49 }
{324 18027 93 92 89 90 97 92 96 83 98 91 81 96 93 80 89 90 97 86 98 83 98 96 81 99 -4.00 -2.62 6.70 1.50 0.73 -1.98 29.19 64.84 9.21 22.15 -22.04 }
{328 18185 90 88 92 87 95 94 94 84 95 89 84 94 87 88 99 87 95 95 92 84 89 84 94 87 -2.16 -1.64 -4.44 1.64 0.26 -1.30 29.19 64.28 8.07 20.73 -22.42 }
{332 18340 92 85 96 84 92 98 91 83 97 91 88 90 95 85 96 81 85 99 91 83 98 98 99 84 6.80 -2.47 -8.53 0.86 -0.25 -0.42 29.24 64.51 7.27 19.03 -23.17 }
{336 18494 95 85 96 81 88 99 91 83 98 95 92 86 95 85 96 81 85 99 91 83 98 98 99 84 9.56 1.04 -0.27 1.02 0.65 -1.28 29.19 64.80 7.06 17.03 -23.71 }
{340 18651 98 85 93 84 84 96 88 86 95 93 90 88 99 85 91 87 84 85 81 94 86 90 83 92 3.78 -1.37 -2.56 1.39 0.01 -1.09 29.14 65.04 7.14 15.64 -23.54 }
{344 18805 96 88 95 88 81 92 85 87 91 95 92 92 81 94 97 97 80 89 85 87 82 99 97 96 -9.98 -3.61 2.49 1.39 0.77 -1.94 29.19 64.37 6.25 14.32 -22.61 }
{348 18959 92 92 97 92 80 89 85 87 87 99 96 96 81 94 97 97 80 89 85 87 82 99 97 96 -5.34 -1.70 2.24 0.71 0.84 -1.46 29.24 65.76 5.37 12.64 -21.71 }
{352 19112 88 94 97 96 80 89 85 87 83 99 97 96 81 94 97 97 80 89 85 87 82 99 97 96 1.64 -3.73 4.31 0.91 0.26 -0.78 29.24 65.11 4.29 11.34 -21.40 }
{356 19269 84 91 99 94 83 92 82 90 85 96 97 96 82 89 99 88 83 97 81 92 86 81 97 96 -1.63 -1.55 -6.03 1.12 0.00 -1.19 29.19 65.87 3.94 10.09 -21.54 }
{360 19423 82 89 99 90 83 96 81 92 86 92 97 96 82 89 99 88 83 97 81 92 86 81 97 96 7.36 1.91 -3.80 1.56 0.41 0.05 29.19 64.08 3.80 9.20 -21.83 }
{364 19574 82 89 99 88 83 97 81 92 86 88 97 96 82 89 99 88 83 97 81 92 86 81 97 96 1.84 0.20 -3.10 1.16 0.38 -1.25 29.14 65.23 3.41 8.17 -22.34 }
{368 19730 85 92 96 85 86 94 84 92 84 90 98 93 90 94 95 81 92 93 87 92 84 91 98 92 0.46 -0.62 -4.67 1.30 0.62 -1.65 29.28 64.42 3.28 7.38 -22.34 }
{372 19881 89 94 95 81 90 93 87 92 84 91 98 92 90 94 95 81 92 93 87 92 84 91 98 92 -5.06 -1.44 1.08 0.48 0.31 -2.28 29.24 64.22 3.60 6.60 -21.76 }
{376 20037 90 91 98 84 94 90 90 89 83 92 95 95 90 83 99 94 99 86 95 81 83 92 86 99 3.94 0.89 0.50 0.45 1.34 0.72 29.14 64.24 3.76 19.47 -21.33 }
{380 20188 90 87 99 88 98 86 94 85 83 92 91 99 90 83 99 94 99 86 95 81 83 92 86 99 -11.10 -0.76 16.15 0.47 0.64 -2.35 29.14 63.62 6.94 21.08 -20.58 }
{384 20346 90 83 97 88 97 88 93 85 85 94 91 99 90 83 89 85 83 91 91 92 96 99 91 99 1.74 0.85 5.86 0.74 0.61 -1.49 29.19 64.13 6.46 20.90 -19.01 }
{388 20499 92 85 97 88 93 92 90 85 89 94 91 97 96 91 97 93 88 97 90 83 96 89 91 94 8.54 0.45 -8.72 1.22 0.08 -0.96 29.14 64.91 6.39 19.14 -19.93 }
{392 20652 96 89 97 92 89 96 90 83 93 90 91 94 96 91 97 93 88 97 90 83 96 89 91 94 5.38 2.71 -0.35 0.94 0.18 -1.68 29.09 65.09 6.71 17.53 -19.62 }
{396 20807 93 87 94 90 85 94 90 84 93 86 88 97 84 86 91 90 82 84 90 84 93 81 87 99 1.48 1.56 -0.17 1.26 0.08 -1.19 29.24 65.36 6.60 16.01 -19.41 }
{400 20959 89 86 91 90 82 90 90 84 93 82 87 99 84 86 91 90 82 84 90 84 93 81 87 99 -7.64 0.63 5.95 0.69 1.08 -1.90 29.09 64.96 5.61 14.56 -19.03 }
{404 21115 91 89 88 87 85 86 92 87 94 84 87 97 97 90 81 81 85 82 92 92 94 99 87 97 -0.48 -1.95 0.14 1.27 0.79 -1.63 29.19 65.11 5.25 13.29 -18.96 }
{408 21270 91 92 88 87 83 86 90 91 92 88 89 95 90 99 90 97 81 96 80 99 92 99 96 90 6.00 -2.42 -6.58 1.50 0.15 -1.92 29.14 63.99 4.87 18.38 -17.92 }
{412 21424 90 96 90 91 81 90 86 95 92 92 93 91 90 99 90 97 81 96 80 99 92 99 96 90 6.87 -1.93 -13.92 0.86 0.35 -1.20 29.14 65.71 4.70 16.96 -18.27 }
{416 21579 90 99 90 95 81 94 82 99 92 96 96 90 90 99 90 97 81 96 80 99 92 99 96 90 4.60 -0.80 -0.27 0.84 0.21 -0.51 29.14 64.98 11.04 14.97 -19.15 }
{420 21737 88 96 87 98 84 92 84 96 91 94 93 87 88 94 84 98 90 81 95 81 91 81 85 81 6.65 1.17 -1.80 1.07 0.10 -1.44 29.09 65.71 10.42 13.36 -19.54 }
{424 21891 88 94 84 98 88 88 88 92 91 90 89 83 88 94 84 98 90 81 95 81 91 81 85 81 -1.11 2.98 5.79 1.33 0.93 -1.44 29.14 64.53 10.20 12.24 -19.45 }
{428 22046 89 93 85 97 91 86 92 88 90 88 87 80 90 88 85 93 97 89 96 83 81 95 98 80 -6.06 -1.29 10.05 1.62 1.88 -1.97 29.14 64.57 29.44 24.72 -19.21 }
{432 22203 90 89 85 93 95 89 96 84 86 92 91 80 90 88 85 93 97 89 96 83 81 95 98 80 3.65 -5.38 -0.50 0.58 1.20 -0.52 29.14 63.90 26.90 22.63 -18.94 }
{436 22358 90 88 85 93 97 89 96 83 82 95 95 80 90 88 85 93 97 89 96 83 81 95 98 80 -1.28 -4.51 -2.06 1.03 0.46 -1.47 29.19 65.89 25.02 20.93 -18.26 }
{440 22517 87 91 83 90 94 90 95 86 84 94 93 83 82 94 83 83 89 90 95 95 84 94 83 98 2.65 0.74 1.04 1.08 0.46 -1.48 29.14 64.49 23.29 18.74 -18.52 }
{444 22669 83 94 83 86 90 90 95 90 84 94 89 87 82 94 83 83 89 90 95 95 84 94 83 98 -0.39 2.95 -6.37 1.40 0.81 -0.87 29.19 65.09 20.77 16.90 -18.71 }
{448 22824 82 94 83 83 89 90 95 94 84 94 85 91 82 94 83 83 89 90 95 95 84 94 83 98 4.31 4.11 0.75 1.84 1.60 -1.17 29.14 64.40 26.12 15.83 -19.32 }
{452 22980 84 96 85 81 87 90 93 93 86 96 85 91 92 96 94 80 80 90 88 81 87 96 87 81 -0.47 -0.27 -0.01 1.56 0.88 -1.29 29.19 66.09 24.02 14.62 -18.97 }
{456 23136 88 96 89 80 83 90 89 89 87 96 87 87 92 96 94 80 80 90 88 81 87 96 87 81 -0.22 2.36 -9.13 0.44 0.31 -0.86 29.24 63.77 23.00 13.21 -18.65 }
{460 23291 92 96 93 80 80 90 88 85 87 96 87 83 92 96 94 80 80 90 88 81 87 96 87 81 3.71 -2.56 -3.76 0.19 0.04 -0.99 29.28 63.32 21.96 19.23 -17.55 }
{464 23450 89 93 91 83 83 91 89 87 90 93 84 84 88 91 88 95 93 91 89 93 99 91 80 84 1.91 3.85 1.77 1.38 0.34 -1.92 29.19 63.95 20.32 17.17 -17.78 }
{468 23602 88 91 88 87 87 91 89 91 94 91 80 84 88 91 88 95 93 91 89 93 99 91 80 84 5.10 2.31 1.82 2.18 0.20 -1.82 29.19 65.14 19.17 15.93 -17.46 }
{472 23758 90 90 85 91 85 94 86 89 92 93 83 81 90 90 80 93 82 98 82 84 88 93 95 80 4.28 -3.61 -2.14 1.50 0.08 -0.85 29.09 65.07 25.53 14.99 -16.41 }
{476 23912 90 90 81 93 82 98 82 85 88 93 87 80 90 90 80 93 82 98 82 84 88 93 95 80 5.23 0.28 4.06 0.93 0.01 -0.85 29.19 64.58 23.86 13.43 -16.87 }
{480 24068 92 88 82 91 83 96 84 82 86 91 87 82 96 87 90 87 83 93 92 81 84 80 80 98 3.07 -0.41 3.51 0.79 0.58 -1.59 29.24 65.02 21.92 11.81 -16.63 }
{484 24221 96 87 86 87 83 93 88 81 84 87 83 86 96 87 90 87 83 93 92 81 84 80 80 98 -3.87 -2.56 4.78 0.21 0.72 -1.23 29.19 65.33 20.02 17.58 -16.64 }
{488 24377 96 87 90 87 83 93 92 81 84 83 80 90 96 87 90 87 83 93 92 81 84 80 80 98 2.02 3.75 7.50 1.33 0.77 -0.75 29.24 64.67 18.38 16.10 -16.31 }
{492 24532 93 90 93 85 82 90 90 84 87 85 83 88 83 98 94 85 82 89 90 89 98 90 95 83 1.64 -1.19 -0.76 0.79 0.32 -1.55 29.19 64.62 17.02 14.51 -16.09 }
{496 24687 89 94 94 85 82 89 90 88 91 89 87 84 83 98 94 85 82 89 90 89 98 90 95 83 8.68 2.52 -12.76 1.68 0.05 -1.28 29.14 65.36 15.77 13.07 -18.22 }
{500 24843 85 98 94 85 82 89 90 89 95 90 91 83 85 94 95 81 91 86 91 99 83 94 97 99 1.29 0.36 -1.82 2.08 0.69 -1.42 29.14 64.87 14.65 12.07 -17.27 }
{504 24999 84 96 94 83 84 85 92 91 91 92 93 86 80 97 85 98 84 82 95 80 87 80 87 86 -3.40 -2.15 -10.43 1.37 0.85 -1.57 29.14 65.20 13.55 10.92 -16.76 }
{508 25157 82 94 90 87 83 87 93 87 90 88 95 83 82 83 89 90 83 98 93 81 90 80 98 80 -1.55 -0.42 -3.72 1.56 0.81 -1.99 29.24 63.82 12.63 10.19 -15.92 }
{512 25313 82 90 89 90 83 91 93 83 90 84 98 80 82 83 89 90 83 98 93 81 90 80 98 80 12.13 -0.94 1.65 -1.17 -0.70 -2.19 29.28 64.47 19.67 30.00 -17.33 }
{516 25473 83 88 90 89 84 93 94 82 89 82 97 81 87 96 91 86 91 84 99 96 84 92 88 94 1.94 0.71 0.12 1.14 0.07 -0.61 29.19 64.37 26.03 26.67 -17.48 }
{520 25626 87 88 91 90 83 89 92 83 91 86 93 85 99 88 91 90 83 87 84 83 94 88 81 92 7.82 -1.99 -1.39 1.32 0.53 -1.22 29.14 63.48 24.61 24.37 -17.25 }
{524 25781 91 88 91 90 83 87 88 83 94 88 89 89 99 88 91 90 83 87 84 83 94 88 81 92 0.89 -2.22 0.73 0.72 1.30 -1.38 29.24 65.31 22.45 22.29 -16.24 }
