N T EM1 EM2 EM3 EM4 EM5 EM6 EM7 EM8 EM9 EM10 EM11 EM12 CM1 CM2 CM3 CM4 CM5 CM6 CM7 CM8 CM9 CM10 CM11 CM12 GyX GyY GyZ AcX AcY AcZ Tmp HCSR X Y Z
{0 5536 93 93 93 93 93 93 93 93 93 93 93 93 87 89 93 98 90 92 84 98 83 89 80 85 2.00 -0.59 -0.34 1.44 2.69 -1.32 28.58 36.62 -12.32 -4.02 -25.49 }
{4 5681 82 87 83 87 89 80 92 83 89 89 97 80 82 87 83 87 89 80 92 83 89 89 97 80 -7.42 10.68 10.67 -2.30 5.08 -2.19 28.48 61.02 -13.45 2.92 -27.10 }
{8 5837 81 87 92 93 96 85 85 88 91 94 97 81 81 87 92 93 96 85 85 88 91 94 97 81 -6.07 1.59 12.81 1.20 2.22 0.07 28.48 61.61 -13.68 2.07 -27.36 }
{12 5988 88 84 88 90 84 96 90 83 82 86 89 84 88 84 88 90 84 96 90 83 82 86 89 84 37.70 29.27 37.71 2.31 2.46 3.14 28.53 60.71 -14.36 1.85 -27.25 }
{16 6137 93 97 88 88 93 98 81 95 93 85 94 83 93 97 88 88 93 98 81 95 93 85 94 83 2.98 -5.12 -9.51 1.95 1.66 -1.85 28.58 33.67 -13.55 1.94 -26.94 }
{20 6295 85 89 95 94 89 81 97 95 85 84 91 98 85 89 95 94 89 81 97 95 85 84 91 98 -86.35 -19.89 63.71 -0.87 6.07 -4.57 28.53 62.18 -15.06 15.32 -23.46 }
{24 6450 83 85 82 92 86 96 97 98 84 81 97 91 83 85 82 92 86 96 97 98 84 81 97 91 49.35 16.52 -31.42 3.16 1.60 0.28 28.58 30.93 -14.12 14.94 -24.32 }
{28 6610 97 98 97 97 94 84 89 91 85 95 95 98 97 98 97 97 94 84 89 91 85 95 95 98 -26.59 -26.33 8.89 -0.33 1.60 -4.96 28.58 35.77 -13.86 13.12 -24.07 }
{32 6763 99 88 92 80 97 94 88 95 88 93 90 86 99 88 92 80 97 94 88 95 88 93 90 86 18.68 6.45 7.01 1.82 1.17 -1.78 28.53 29.20 -14.53 11.50 -24.64 }
{36 6918 82 85 82 92 87 81 95 92 91 81 90 91 82 85 82 92 87 81 95 92 91 81 90 91 1.73 8.07 2.90 0.85 3.29 -2.94 28.44 30.45 -15.10 10.39 -23.28 }
{40 7075 97 96 90 80 99 95 86 92 98 95 99 94 97 96 90 80 99 95 86 92 98 95 99 94 20.19 55.61 -27.42 3.21 0.06 -0.81 28.53 60.53 -19.02 11.08 -24.65 }
{44 7228 89 80 85 86 83 86 93 90 98 94 80 84 94 86 94 83 98 84 90 90 99 83 87 85 -27.03 -14.51 3.80 0.19 6.85 -3.77 28.62 31.89 -20.55 23.43 -21.84 }
{48 7392 94 82 91 99 92 84 95 98 96 92 95 91 94 82 91 99 92 84 95 98 96 92 95 91 1.64 -21.00 -13.89 1.59 4.92 0.36 28.53 61.67 -20.03 27.49 -23.06 }
{52 7544 89 97 93 87 85 90 82 91 88 97 81 85 89 97 93 87 85 90 82 91 88 97 81 85 16.75 -7.26 -38.66 1.96 0.90 -1.76 28.62 38.86 -16.92 26.25 -25.15 }
{56 7705 95 89 87 95 93 89 80 95 95 86 83 82 95 89 87 95 93 89 80 95 95 86 83 82 -1.10 7.67 27.41 0.71 2.61 -0.06 28.53 62.61 -16.43 31.64 -24.09 }
{60 7853 88 89 91 84 98 88 97 91 89 83 91 91 88 89 91 84 98 88 97 91 89 83 91 91 -14.12 1.01 32.50 0.98 5.79 -2.72 28.62 32.78 -15.82 35.88 -23.31 }
